COMMAND                   AVG_CPU%
isupipe                       95.0
nginx                         12.6
systemd-journal                0.8
pidstat                        0.6
rsyslogd                       0.3
landscape-sysin                0.2
mysql                          0.1
kworker/u4:4-ext4-rsv-conversion       0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-logind                 0.0
systemd                        0.0
sshd                           0.0
rcu_sched                      0.0
kworker/u4:1-ext4-rsv-conversion       0.0
