COMMAND                   AVG_CPU%
nginx                        105.4
pidstat                        0.4
kworker/u4:3-ext4-rsv-conversion       0.4
kworker/u4:0-ext4-rsv-conversion       0.3
rcu_sched                      0.1
kworker/u4:3-writeback         0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
jbd2/nvme0n1p1-8               0.1
sshd                           0.0
kworker/u4:3-flush-259:0       0.0
kworker/u4:3-events_unbound       0.0
kworker/u4:3-events_power_efficient       0.0
kworker/u4:0-writeback         0.0
kworker/u4:0-events_unbound       0.0
