procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 3061640  30056 451648    0    0   222  5340 8641 2717 19 11 69  0  0 2026-09-22 10:52:29
 0  0      0 3059408  30056 451600    0    0     0     8  586  939  2  2 96  0  0 2026-09-22 10:52:30
 0  0      0 3059408  30056 451604    0    0     0  3736  424  753  0  1 96  3  0 2026-09-22 10:52:31
 0  0      0 3059408  30056 451604    0    0     0    80   46   51  0  0 100  0  0 2026-09-22 10:52:32
 0  0      0 3059408  30068 451604    0    0     0   136   55   62  0  0 100  0  0 2026-09-22 10:52:33
 0  0      0 3058736  30068 451604    0    0     0     8  788  328  1  0 99  0  0 2026-09-22 10:52:34
 0  0      0 3058736  30068 451544    0    0     0     0   29   37  0  0 100  0  0 2026-09-22 10:52:35
 0  0      0 3058640  30068 451444    0    0     0    80  255  111  1  0 100  0  0 2026-09-22 10:52:36
 0  0      0 3058640  30068 451416    0    0     0     0   49   42  1  0 100  0  0 2026-09-22 10:52:37
 3  0      0 3147960  30080 380292    0    0     0   156 18997 5944 20 12 68  0  0 2026-09-22 10:52:38
 3  0      0 3139860  30080 390900    0    0     0   844 43191 14398 36 26 38  0  0 2026-09-22 10:52:39
 3  0      0 3125808  30080 401324    0    0     0  3016 41260 13954 41 21 38  0  0 2026-09-22 10:52:40
 3  0      0 3114456  30080 415184    0    0     0 10704 43381 13942 38 25 37  0  0 2026-09-22 10:52:41
 4  0      0 3100692  30080 427108    0    0     0  6816 42951 14818 40 23 37  0  1 2026-09-22 10:52:42
 3  0      0 3090536  30112 435280    0    0     0 15460 43974 13430 42 25 33  0  0 2026-09-22 10:52:43
 4  0      0 3081512  30112 444296    0    0     0 13388 43314 13783 42 25 33  0  0 2026-09-22 10:52:44
 4  0      0 3066684  30112 455812    0    0     0 10064 44089 14161 42 21 37  0  0 2026-09-22 10:52:45
 5  0      0 3055540  30112 466740    0    0     0 21452 45451 12540 41 30 29  0  0 2026-09-22 10:52:46
 1  3      0 3052176  30128 473992    0    0     0 18780 47149 12849 44 27 29  0  0 2026-09-22 10:52:47
 1  0      0 3025312  30136 484176    0    0     0 24024 44157 12792 40 29 30  1  0 2026-09-22 10:52:48
 0  0      0 3028592  30136 482416    0    0     0 12964 43521 13145 42 26 32  0  0 2026-09-22 10:52:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 3017020  30136 492660    0    0     0 19992 42465 12814 42 26 32  0  0 2026-09-22 10:52:50
 0  0      0 3011168  30136 501780    0    0     0 23280 45528 12753 44 28 28  0  0 2026-09-22 10:52:51
 1  1      0 3001428  30168 507608    0    0     0 26848 45606 12352 46 26 29  0  0 2026-09-22 10:52:52
 2  0      0 2985448  30172 519712    0    0     0 25568 44996 12582 47 24 29  0  0 2026-09-22 10:52:53
 2  0      0 2983432  30172 523272    0    0     0 19176 45828 12592 47 27 27  0  0 2026-09-22 10:52:54
 2  0      0 2970532  30172 530292    0    0     0 24772 46107 12213 51 24 25  0  0 2026-09-22 10:52:55
 2  0      0 2968776  30172 530876    0    0     0 16716 42878 12782 46 25 29  0  0 2026-09-22 10:52:56
 1  2      0 2958240  30204 539300    0    0     0 23552 42619 12494 43 27 30  1  1 2026-09-22 10:52:57
 2  0      0 2948820  30208 546164    0    0     0 19816 43863 12015 46 27 27  0  0 2026-09-22 10:52:58
 2  0      0 2938744  30208 553600    0    0     0 26708 41419 11419 46 25 29  0  0 2026-09-22 10:52:59
 2  0      0 2937636  30208 554276    0    0     0 17316 41276 12065 47 22 31  0  0 2026-09-22 10:53:00
 2  0      0 2935600  30208 553248    0    0     0 19916 43893 11806 44 30 26  0  0 2026-09-22 10:53:01
 3  0      0 2927156  30244 562544    0    0     0 33288 43849 11015 46 29 25  0  0 2026-09-22 10:53:02
 0  0      0 2922004  30244 565984    0    0     0 24624 43409 11267 45 27 28  1  0 2026-09-22 10:53:03
 1  0      0 2913796  30244 570660    0    0     0 28476 45352 11372 51 26 23  0  0 2026-09-22 10:53:04
 1  0      0 2912812  30244 569028    0    0     0 15320 42448 11581 48 22 29  0  0 2026-09-22 10:53:05
 2  0      0 2906476  30244 581136    0    0     0 29908 43672 11257 48 26 26  0  0 2026-09-22 10:53:06
