COMMAND                   AVG_CPU%
isupipe                      113.5
nginx                         13.8
systemd-journal                1.4
pidstat                        0.9
rsyslogd                       0.6
rcu_sched                      0.1
kworker/u4:4-ext4-rsv-conversion       0.1
kworker/u4:0-ext4-rsv-conversion       0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd-udevd                  0.0
snapd                          0.0
mysql                          0.0
kworker/u4:4+flush-259:0       0.0
