COMMAND                   AVG_CPU%
mysqld                        60.2
nginx                         30.2
pidstat                        0.9
rcu_sched                      0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd-journal                0.0
systemd                        0.0
snapd                          0.0
multipathd                     0.0
kworker/u4:3-writeback         0.0
kworker/u4:3-flush-259:0       0.0
kworker/u4:2-writeback         0.0
kworker/u4:2-ext4-rsv-conversion       0.0
kworker/u4:0-events_unbound       0.0
