procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2450396  47608 1106820    0    0    49   213 2425  800  6  2 91  0  0 2026-09-22 09:43:53
 0  0      0 2446644  47620 1106760    0    0     0    76  607  997  2  2 96  0  0 2026-09-22 09:43:54
 0  0      0 2446644  47620 1106760    0    0     0     0   44   49  0  1 100  0  0 2026-09-22 09:43:55
 0  0      0 2446644  47620 1106760    0    0     0    44   51   59  0  0 100  0  0 2026-09-22 09:43:56
 0  0      0 2446480  47620 1106788    0    0     0     0 1017  486  1  1 99  0  0 2026-09-22 09:43:57
 0  0      0 2446480  47620 1106788    0    0     0    16   44   44  0  0 100  0  0 2026-09-22 09:43:58
 0  0      0 2446256  47632 1106808    0    0     0    80  631  421  1  0 99  0  0 2026-09-22 09:43:59
 0  0      0 2446256  47632 1106808    0    0     0     0   39   36  0  0 100  0  0 2026-09-22 09:44:00
 0  0      0 2454036  47652 1106788    0    0     0  4008 1165  548  0  1 96  4  0 2026-09-22 09:44:01
 1  0      0 2440700  47652 1109128    0    0     0     8 42276 13678 38 19 43  0  0 2026-09-22 09:44:02
 2  0      0 2428940  47652 1111748    0    0     0    88 47426 15344 38 25 38  0  0 2026-09-22 09:44:03
 1  0      0 2418860  47652 1114316    0    0     0     0 43185 13999 36 20 43  0  0 2026-09-22 09:44:04
 2  0      0 2408864  47652 1117140    0    0     0   172 48432 15173 43 22 35  1  0 2026-09-22 09:44:05
 2  0      0 2398872  47660 1119944    0    0     0    60 48766 14716 46 20 34  0  0 2026-09-22 09:44:06
 2  0      0 2393088  47660 1122548    0    0     0     0 48804 14894 45 22 33  0  0 2026-09-22 09:44:07
 2  0      0 2386428  47660 1125084    0    0     0     8 49083 14030 46 21 33  0  0 2026-09-22 09:44:08
 2  0      0 2380260  47660 1127852    0    0     0     0 50430 14859 47 20 33  0  0 2026-09-22 09:44:09
 3  0      0 2376532  47660 1130244    0    0     0     0 50252 14646 44 22 34  0  0 2026-09-22 09:44:10
 3  0      0 2370808  47668 1132680    0    0     0    40 48927 14027 48 20 32  0  0 2026-09-22 09:44:11
 3  0      0 2365244  47668 1135268    0    0     0     0 49438 14818 45 21 34  0  1 2026-09-22 09:44:12
