COMMAND                   AVG_CPU%
nginx                        118.7
landscape-sysin                0.7
pidstat                        0.4
rcu_sched                      0.1
ksoftirqd/1                    0.1
vmstat                         0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
multipathd                     0.0
kworker/u4:4-ext4-rsv-conversion       0.0
kworker/u4:3-ext4-rsv-conversion       0.0
ksoftirqd/0                    0.0
dbus-daemon                    0.0
