    t     req newconn  fullhs      h2
    0   10465     464     464       0
    5   11676     479     479       0
   10   10715     522     522       0
   15   10388     514     514       0
   20    9320     570     570       0
   25    7933     611     611       0
   30    9345     690     690       0
   35   10162     764     764       0
   40    9564     726     726       0
   45    8418     741     741       0
   50    8762     736     736       0
   55    8954     697     697       0
   60     280      31      31       0
