COMMAND                   AVG_CPU%
mysqld                        62.4
nginx                         36.2
pidstat                        0.8
landscape-sysin                0.3
rcu_sched                      0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd-logind                 0.0
systemd                        0.0
sshd                           0.0
kworker/u4:3-flush-259:0       0.0
kworker/u4:3-events_unbound       0.0
kworker/u4:1-writeback         0.0
kworker/1:2-dio/nvme0n1p1       0.0
kworker/0:2-events             0.0
