    t     req newconn  fullhs      h2
    0      68      17      17       0
    5   17091     595     595       0
   10   52187    1698    1698       0
   15   50848    1775    1775       0
   20   50638    1871    1871       0
   25   49072    2024    2024       0
   30   47765    1999    1999       0
   35   48755    2028    2028       0
   40   54977    1155    1155       0
   45   57066     990     990       0
   50   58094     956     956       0
   55   57069     970     970       0
   60   54867     937     937       0
   65   36634     593     593       0
