procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 12960044  96068 2566836    0    0    22   180  800  794  9  1 89  0  0 2026-09-22 09:23:56
 0  0      0 12934340  96068 2565136    0    0     0     0 2719 2496  2  2 97  0  0 2026-09-22 09:23:57
 0  0      0 12934340  96068 2565136    0    0     0     0   47   64  0  0 100  0  0 2026-09-22 09:23:58
 0  0      0 12934088  96068 2565136    0    0     0     0   26   29  0  0 100  0  0 2026-09-22 09:23:59
 0  0      0 12929300  96068 2565136    0    0     0     0 2119 2921  0  0 99  0  0 2026-09-22 09:24:00
 0  0      0 12929300  96068 2565136    0    0     0  1564  414  470  0  0 100  0  0 2026-09-22 09:24:01
 0  0      0 12927788  96068 2565136    0    0     0    72 1406 1826  0  0 100  0  0 2026-09-22 09:24:02
 0  0      0 12927536  96068 2565136    0    0     0     8   42   41  0  0 100  0  0 2026-09-22 09:24:03
 1  0      0 12913172  96068 2565136    0    0     0     0 5602 7265  3  1 97  0  0 2026-09-22 09:24:04
 3  0      0 12879804  96068 2565100    0    0     0     0 59590 59199 33  5 62  0  0 2026-09-22 09:24:05
 2  0      0 12858160  96068 2564988    0    0     0     0 57928 58455 34  5 62  0  0 2026-09-22 09:24:06
 5  0      0 12837884  96068 2565004    0    0     0    44 62992 62207 37  5 58  0  0 2026-09-22 09:24:07
 4  0      0 12815552  96068 2565300    0    0     0     4 61412 59441 38  5 57  0  0 2026-09-22 09:24:08
 3  0      0 12793720  96068 2565560    0    0     0    76 63824 61390 37  5 57  0  0 2026-09-22 09:24:09
 1  0      0 12778684  96068 2565656    0    0     0     0 64018 61314 35  5 59  0  0 2026-09-22 09:24:10
 2  0      0 12767764  96068 2565772    0    0     0     0 62058 60173 37  5 58  0  0 2026-09-22 09:24:11
 2  0      0 12760232  96072 2565792    0    0     0   220 60972 60344 35  4 61  0  0 2026-09-22 09:24:12
 2  0      0 12756732  96072 2565816    0    0     0     0 64869 62614 36  6 58  0  0 2026-09-22 09:24:13
 8  0      0 12747424  96072 2565828    0    0     0     4 64578 61545 37  6 57  0  0 2026-09-22 09:24:14
 8  0      0 12740372  96072 2565852    0    0     0    80 63989 60480 37  5 59  0  0 2026-09-22 09:24:15
 3  0      0 12734128  96072 2565896    0    0     0     0 64568 58157 37  4 58  0  0 2026-09-22 09:24:16
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
