COMMAND                   AVG_CPU%
mysqld                       144.6
pidstat                        0.4
jbd2/nvme0n1p1-8               0.2
kworker/u4:2+flush-259:0       0.1
kworker/0:3-dio/nvme0n1p1       0.1
kcompactd0                     0.1
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
multipathd                     0.0
landscape-sysin                0.0
kworker/u4:4+flush-259:0       0.0
kworker/u4:4-writeback         0.0
kworker/u4:4-events_unbound       0.0
kworker/u4:3-events_unbound       0.0
