procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 573348  88500 1528684    0    0    74  1502 1234 1356 10  2 87  1  0 2026-09-22 09:23:56
 0  0      0 566676  88500 1528760    0    0     0  1916  421  748  0  3 96  2  0 2026-09-22 09:23:57
 1  0      0 566424  88520 1528740    0    0    48 14032 5639 10098  6  3 64 27  0 2026-09-22 09:23:58
 0  1      0 579532  88544 1531672    0    0     0 19536 12662 18556 15  7 59 19  0 2026-09-22 09:23:59
 0  0      0 591880  88556 1532996    0    0     0 35052 4665 7740 18  2 58 23  0 2026-09-22 09:24:00
 0  0      0 600104  88564 1533124    0    0     0  2136 1018 1193  0  1 97  3  0 2026-09-22 09:24:01
 0  0      0 600104  88564 1533124    0    0     0   828  290  504  1  0 100  0  0 2026-09-22 09:24:02
 0  0      0 599600  88564 1533220    0    0     0  7360 1452 2520  1  1 89 10  0 2026-09-22 09:24:03
 0  0      0 599600  88564 1533220    0    0     0   836  436  731  1  0 99  1  0 2026-09-22 09:24:04
 4  0      0 593300  88572 1539112    0    0     0 27500 16560 18690 31 12 48 10  0 2026-09-22 09:24:05
 4  0      0 584984  88576 1547052    0    0     0 17228 22935 26611 63 15 20  2  0 2026-09-22 09:24:06
 1  0      0 576664  88576 1555364    0    0     0 16212 25772 32482 77 14  9  1  0 2026-09-22 09:24:07
 2  0      0 565068  88580 1563612    0    0     0 17676 25228 30803 76 13 10  2  0 2026-09-22 09:24:08
 2  0      0 555744  88580 1571780    0    0     0 22672 25986 32003 73 17  8  1  1 2026-09-22 09:24:09
 4  0      0 546668  88580 1580196    0    0     0 23080 25804 31445 75 14  9  1  0 2026-09-22 09:24:10
 5  0      0 538356  88580 1588644    0    0     0 29204 24667 30248 76 13 10  1  0 2026-09-22 09:24:11
 9  0      0 530544  88596 1596280    0    0     0 17972 24015 29480 68 13 12  7  0 2026-09-22 09:24:12
 5  0      0 522224  88600 1604576    0    0     0 19644 26164 31368 74 17  9  1  0 2026-09-22 09:24:13
 4  0      0 513656  88612 1613148    0    0     0 18676 25024 30897 73 17  9  1  0 2026-09-22 09:24:14
 5  0      0 504336  88620 1621872    0    0     0 20852 25851 32915 74 15  9  1  0 2026-09-22 09:24:15
 3  0      0 496264  88620 1629912    0    0     0 23248 24281 28870 75 15  9  1  0 2026-09-22 09:24:16
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 488200  88624 1637584    0    0     0 16668 22997 26873 79 11 10  1  0 2026-09-22 09:24:17
 5  0      0 480488  88636 1645220    0    0     0 17816 23270 28674 75 12 11  2  0 2026-09-22 09:24:18
 3  0      0 472928  88636 1652760    0    0     0 22728 23038 27989 76 14  9  2  0 2026-09-22 09:24:19
 7  0      0 465620  88636 1660132    0    0     0 23924 23191 27941 74 15 11  2  0 2026-09-22 09:24:20
 3  0      0 458060  88640 1667464    0    0     0 24880 23061 27339 74 13 11  2  0 2026-09-22 09:24:21
 8  3      0 451004  88644 1674584    0    0     0 165664 21205 25735 71 12 11  7  0 2026-09-22 09:24:22
 5  0      0 443692  88648 1681808    0    0     0 20812 22903 26842 76 13  9  2  0 2026-09-22 09:24:23
 3  0      0 435368  88648 1690124    0    0     0 25772 22617 27192 74 16  9  0  0 2026-09-22 09:24:24
 4  0      0 428060  88648 1697412    0    0     0 26104 21812 26567 74 11 13  2  0 2026-09-22 09:24:25
 6  0      0 420500  88652 1704920    0    0     0 19888 22052 27834 73 14 12  1  0 2026-09-22 09:24:26
 4  0      0 412436  88664 1713120    0    0     0 26940 21511 27678 72 14 13  2  0 2026-09-22 09:24:27
 5  0      0 404876  88668 1720608    0    0     0 20512 21837 27439 73 13 12  1  0 2026-09-22 09:24:28
 5  0      0 397064  88676 1728108    0    0     0 28020 21536 26845 76 11 13  1  0 2026-09-22 09:24:29
 7  0      0 390008  88684 1735548    0    0     0 21408 22373 26234 73 14 11  2  1 2026-09-22 09:24:30
 6  0      0 382192  88684 1743196    0    0     0 22008 21454 24779 75 12 11  2  0 2026-09-22 09:24:31
 6  0      0 374628  88684 1750644    0    0     0 25696 21603 26798 73 12 13  2  0 2026-09-22 09:24:32
10  0      0 367068  88684 1758220    0    0     0 22816 22247 27504 78 11 11  0  0 2026-09-22 09:24:33
 7  0      0 359760  88684 1765732    0    0     0 26000 22369 28389 73 14 12  2  0 2026-09-22 09:24:34
 7  0      0 351948  88684 1773360    0    0     0 26616 20775 27239 73 12 15  1  0 2026-09-22 09:24:35
 8  0      0 344388  88688 1780828    0    0     0 23956 20875 26399 73 12 14  2  0 2026-09-22 09:24:36
 8  0      0 336828  88688 1788480    0    0     0 25996 21582 25630 78 11 11  1  0 2026-09-22 09:24:37
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 8  0      0 329520  88696 1795796    0    0     0 22456 21406 26148 77 10 12  1  0 2026-09-22 09:24:38
 6  0      0 321960  88700 1803320    0    0     0 24784 21370 26300 72 13 14  2  0 2026-09-22 09:24:39
 9  0      0 314652  88700 1810840    0    0     0 27320 20968 25234 75 10 11  3  0 2026-09-22 09:24:40
11  0      0 306840  88704 1818640    0    0     0 27764 20434 24328 60 13 26  2  0 2026-09-22 09:24:41
14  0      0 299280  88704 1826076    0    0     0 23864 21367 27220 74 13 12  1  0 2026-09-22 09:24:42
11  0      0 291720  88708 1833588    0    0     0 23636 20833 26196 73 11 14  2  0 2026-09-22 09:24:43
 8  0      0 284916  88712 1840504    0    0     0 27660 20450 24868 73 12 14  1  0 2026-09-22 09:24:44
 5  0      0 277856  88724 1847496    0    0     0 24364 20075 24731 70  9 19  2  0 2026-09-22 09:24:45
 9  0      0 270292  88724 1855016    0    0     0 28544 21214 26766 76 12 11  1  0 2026-09-22 09:24:46
 4  0      0 262188  88724 1862320    0    0     0 23096 20409 25524 74 12 13  1  0 2026-09-22 09:24:47
 4  0      0 254880  88728 1869712    0    0     0 24488 20226 25291 76 10 13  2  0 2026-09-22 09:24:48
13  0      0 247572  88728 1877080    0    0     0 37036 21187 26156 76 11 11  2  0 2026-09-22 09:24:49
 7  0      0 239504  88728 1885080    0    0     0 37800 21832 27636 75 13 11  2  0 2026-09-22 09:24:50
10  0      0 232196  88732 1892460    0    0     0 31172 20468 25272 71 15 13  1  0 2026-09-22 09:24:51
 2  0      0 224132  88732 1900092    0    0     0 33332 20426 25175 76  9 12  2  1 2026-09-22 09:24:52
 2  3      0 216824  88736 1907616    0    0     0 36464 20237 25613 73 13 13  2  0 2026-09-22 09:24:53
 0  4      0 210020  88744 1914244    0    0     0 201072 19408 24665 67 10  9 14  0 2026-09-22 09:24:54
 2  0      0 206996  88756 1917392    0    0     0 45800 19436 24363 58  8 15 19  0 2026-09-22 09:24:55
 2  0      0 204472  88760 1919776    0    0     0 16680 21947 25501 75 11 12  1  0 2026-09-22 09:24:56
 3  0      0 202708  88764 1921668    0    0     0 15508 20311 24882 68 10 21  2  0 2026-09-22 09:24:57
 2  0      0 200440  88764 1923904    0    0     0 15616 21127 24870 60 13 26  2  0 2026-09-22 09:24:58
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
