sudo: unable to resolve host ip-10-100-0-64: Name or service not known
+--------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+--------+------+-----+
| COUNT  | METHOD |                        URI                        |  MIN  |  AVG  |  MAX  |   SUM   |  P99  |  2XX  |  3XX   | 4XX  | 5XX |
+--------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+--------+------+-----+
| 273557 | GET    | ^/api/user/[^/]+/icon                             | 0.000 | 0.001 | 0.012 | 174.292 | 0.004 | 286   | 273271 | 0    | 0   |
| 25021  | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.002 | 0.040 | 41.356  | 0.004 | 25021 | 0      | 0    | 0   |
| 28671  | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.001 | 0.044 | 40.396  | 0.004 | 28669 | 0      | 2    | 0   |
| 25052  | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.002 | 0.040 | 40.120  | 0.004 | 25052 | 0      | 0    | 0   |
| 6062   | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.004 | 0.005 | 0.040 | 32.640  | 0.012 | 6062  | 0      | 0    | 0   |
| 22841  | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.001 | 0.044 | 30.576  | 0.004 | 22841 | 0      | 0    | 0   |
| 13388  | GET    | ^/api/livestream/[0-9]+/report                    | 0.004 | 0.002 | 0.008 | 22.596  | 0.004 | 13388 | 0      | 0    | 0   |
| 10158  | GET    | /api/livestream/search                            | 0.004 | 0.002 | 0.012 | 20.204  | 0.004 | 10158 | 0      | 0    | 0   |
| 6430   | POST   | /api/livestream/reservation                       | 0.004 | 0.003 | 0.016 | 18.116  | 0.008 | 1398  | 0      | 5032 | 0   |
| 4011   | POST   | /api/register                                     | 0.004 | 0.004 | 0.048 | 15.068  | 0.008 | 4009  | 0      | 1    | 1   |
| 9448   | GET    | /api/livestream                                   | 0.000 | 0.001 | 0.008 | 13.528  | 0.004 | 9448  | 0      | 0    | 0   |
| 4679   | POST   | /api/icon                                         | 0.000 | 0.003 | 0.048 | 12.896  | 0.012 | 4679  | 0      | 0    | 0   |
| 4017   | POST   | /api/login                                        | 0.004 | 0.002 | 0.008 | 9.520   | 0.004 | 4015  | 0      | 2    | 0   |
| 9706   | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.000 | 0.001 | 0.008 | 7.132   | 0.004 | 9706  | 0      | 0    | 0   |
| 6627   | GET    | /api/tag                                          | 0.000 | 0.001 | 0.008 | 5.432   | 0.004 | 6627  | 0      | 0    | 0   |
| 2195   | POST   | ^/api/livestream/[0-9]+/enter                     | 0.000 | 0.001 | 0.008 | 3.224   | 0.004 | 2195  | 0      | 0    | 0   |
| 2186   | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.004 | 0.001 | 0.008 | 2.816   | 0.004 | 2186  | 0      | 0    | 0   |
| 1      | POST   | /api/initialize                                   | 2.808 | 2.808 | 2.808 | 2.808   | 2.808 | 1     | 0      | 0    | 0   |
| 221    | GET    | ^/api/user/[^/]+/statistics                       | 0.004 | 0.006 | 0.040 | 1.340   | 0.020 | 221   | 0      | 0    | 0   |
| 239    | GET    | ^/api/livestream/[0-9]+/statistics                | 0.004 | 0.006 | 0.036 | 1.332   | 0.012 | 239   | 0      | 0    | 0   |
| 219    | GET    | ^/api/user/[^/]+/livestream                       | 0.000 | 0.002 | 0.004 | 0.400   | 0.004 | 219   | 0      | 0    | 0   |
| 220    | GET    | ^/api/user/[^/]+/theme                            | 0.000 | 0.002 | 0.008 | 0.388   | 0.004 | 220   | 0      | 0    | 0   |
| 62     | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.000 | 0.002 | 0.008 | 0.132   | 0.008 | 62    | 0      | 0    | 0   |
| 1      | GET    | /api/payment                                      | 0.004 | 0.004 | 0.004 | 0.004   | 0.004 | 1     | 0      | 0    | 0   |
| 4      | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 4     | 0      | 0    | 0   |
| 1      | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1     | 0      | 0    | 0   |
+--------+--------+---------------------------------------------------+-------+-------+-------+---------+-------+-------+--------+------+-----+
