procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2354080  43776 1228544    0    0   141   299  123  188  1  1 97  1  0 2026-09-22 08:44:35
 0  0      0 2353072  43776 1228524    0    0     0     0  121  169  1  0 100  0  0 2026-09-22 08:44:36
 0  0      0 2353072  43776 1228524    0    0     0     0   26   31  0  0 100  0  0 2026-09-22 08:44:37
 0  0      0 2353072  43788 1228512    0    0     0    64   48   63  0  0 100  0  0 2026-09-22 08:44:38
 0  0      0 2353072  43788 1228524    0    0     0     0   33   38  0  0 100  0  0 2026-09-22 08:44:39
 0  0      0 2353072  43788 1228524    0    0     0     0   33   40  0  0 100  0  0 2026-09-22 08:44:40
 0  0      0 2353072  43788 1228524    0    0     0    12   50   42  0  0 100  0  0 2026-09-22 08:44:41
 0  0      0 2353072  43788 1228524    0    0     0     0   24   29  0  0 100  0  0 2026-09-22 08:44:42
 0  0      0 2353072  43788 1228524    0    0     0    20   45   36  0  0 100  0  0 2026-09-22 08:44:43
 0  0      0 2353072  43796 1228524    0    0     0    48   40   45  0  0 100  0  0 2026-09-22 08:44:44
 0  0      0 2353072  43796 1228524    0    0     0     0   22   28  0  0 100  0  0 2026-09-22 08:44:45
 0  0      0 2353072  43796 1228524    0    0     0     0   39   45  0  0 100  0  0 2026-09-22 08:44:46
 0  0      0 2353072  43796 1228524    0    0     0     0   30   35  0  0 100  0  0 2026-09-22 08:44:47
 0  0      0 2353072  43796 1228524    0    0     0     0   25   29  0  0 100  0  0 2026-09-22 08:44:48
 0  0      0 2353072  43800 1228524    0    0     0    48   42   47  0  0 99  0  0 2026-09-22 08:44:49
 0  0      0 2353072  43800 1228524    0    0     0     8   41   36  1  0 100  0  0 2026-09-22 08:44:50
 0  0      0 2353072  43800 1228524    0    0     0     0   26   34  0  0 100  0  0 2026-09-22 08:44:51
 0  0      0 2353072  43800 1228524    0    0     0     0   24   28  0  0 100  0  0 2026-09-22 08:44:52
 0  0      0 2353072  43800 1228524    0    0     0     0   24   32  0  0 100  0  0 2026-09-22 08:44:53
 0  0      0 2353072  43800 1228524    0    0     0     0   29   36  0  0 100  0  0 2026-09-22 08:44:54
 1  0      0 2353072  43808 1228524    0    0     0    16   36   37  0  0 100  0  0 2026-09-22 08:44:55
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2353072  43808 1228524    0    0     0     8   39   39  0  0 100  0  0 2026-09-22 08:44:56
 1  0      0 2353072  43808 1228524    0    0     0     0   36   33  0  0 100  0  0 2026-09-22 08:44:57
 1  0      0 2353072  43808 1228524    0    0     0  2800  264  516  0  1 97  3  0 2026-09-22 08:44:58
 1  0      0 2353072  43808 1228524    0    0     0     0   36   35  0  0 100  0  0 2026-09-22 08:44:59
 1  0      0 2353072  43816 1228524    0    0     0    44   88  114  0  0 99  0  0 2026-09-22 08:45:00
 1  0      0 2353072  43816 1228524    0    0     0     0   29   33  0  0 100  0  0 2026-09-22 08:45:01
 1  0      0 2351812  43816 1228524    0    0     0     8   88  128  1  1 99  0  0 2026-09-22 08:45:02
 1  0      0 2351812  43816 1228524    0    0     0     0   63   55  0  1 100  0  0 2026-09-22 08:45:03
 1  0      0 2351812  43816 1228524    0    0     0     0   47   47  0  0 100  0  0 2026-09-22 08:45:04
 1  0      0 2351812  43824 1228524    0    0     0    40   38   37  0  1 100  0  0 2026-09-22 08:45:05
 1  0      0 2351812  43824 1228524    0    0     0     0   39   43  0  0 100  0  0 2026-09-22 08:45:06
 1  0      0 2351812  43824 1228524    0    0     0     8   47   40  0  0 100  0  0 2026-09-22 08:45:07
 0  0      0 2351812  43824 1228524    0    0     0     8   37   38  0  1 100  0  0 2026-09-22 08:45:08
 0  1      0 2351812  43828 1228520    0    0     0    12   31   35  0  0 100  0  0 2026-09-22 08:45:09
 0  0      0 2351812  43832 1228524    0    0     0    28   42   43  0  0 100  0  0 2026-09-22 08:45:10
 0  0      0 2351812  43832 1228528    0    0     0     0   30   32  0  0 100  0  0 2026-09-22 08:45:11
 0  0      0 2351812  43832 1228532    0    0     0     0   32   37  0  0 100  0  0 2026-09-22 08:45:12
 0  0      0 2351812  43832 1228532    0    0     0     0   33   29  0  0 100  0  0 2026-09-22 08:45:13
 0  1      0 2351812  43840 1228524    0    0     0    40   48   52  0  0 100  0  0 2026-09-22 08:45:14
 0  0      0 2351812  43840 1228532    0    0     0     0   34   33  0  0 100  0  0 2026-09-22 08:45:15
 0  0      0 2351812  43840 1228532    0    0     0     0   26   29  0  0 100  0  0 2026-09-22 08:45:16
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2351812  43840 1228532    0    0     0     0   33   30  0  0 99  0  0 2026-09-22 08:45:17
 0  0      0 2351812  43840 1228532    0    0     0     0   37   37  0  0 100  0  0 2026-09-22 08:45:18
