COMMAND                   AVG_CPU%
mysqld                        60.6
pidstat                        0.6
landscape-sysin                0.4
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd                        0.0
sshd                           0.0
kworker/u4:2-ext4-rsv-conversion       0.0
kworker/u4:2-events_unbound       0.0
kworker/u4:0-writeback         0.0
kworker/u4:0-flush-259:0       0.0
ksoftirqd/0                    0.0
dbus-daemon                    0.0
chronyd                        0.0
