COMMAND                   AVG_CPU%
nginx                        114.2
pidstat                        0.8
landscape-sysin                0.4
rcu_sched                      0.1
vmstat                         0.0
systemd-logind                 0.0
systemd                        0.0
sshd                           0.0
snapd                          0.0
kworker/u4:2-writeback         0.0
kworker/u4:2-ext4-rsv-conversion       0.0
kworker/u4:1-writeback         0.0
ksoftirqd/1                    0.0
ksoftirqd/0                    0.0
dbus-daemon                    0.0
