COMMAND                   AVG_CPU%
nginx                        112.3
pidstat                        0.7
landscape-sysin                0.7
systemd-timedat                0.1
rcu_sched                      0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
snapd                          0.0
rsyslogd                       0.0
multipathd                     0.0
