COMMAND                   AVG_CPU%
mysqld                        76.0
isupipe                       34.9
pdns_server                    7.1
nginx                          6.6
systemd-journal                1.1
jbd2/nvme0n1p1-8               0.8
pdnsutil                       0.7
rsyslogd                       0.4
pidstat                        0.4
rcu_sched                      0.1
mysql                          0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd                        0.0
sshd                           0.0
