procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 12861192  57156 2608336    0    0    68   368  225  212 10  2 87  1  0 2026-09-22 08:35:23
 1  0      0 12743080  57460 2679368    0    0     4  6148 3993 4053  8  6 84  2  0 2026-09-22 08:35:24
 1  0      0 12722348  57460 2679540    0    0     0     0 1027  839 11  2 87  0  0 2026-09-22 08:35:25
 1  0      0 12698420  57460 2679588    0    0     0  1364  952  447 11  1 87  0  0 2026-09-22 08:35:26
 1  0      0 12692800  57460 2679588    0    0     0     0 1370  631 10  2 87  0  0 2026-09-22 08:35:27
 1  0      0 12694916  57460 2679668    0    0     0  1308 1619  945 11  2 87  0  0 2026-09-22 08:35:28
 1  0      0 12824524  57468 2608940    0    0     0   200 1102  653 11  1 88  0  0 2026-09-22 08:35:29
 0  1      0 12824444  57664 2609568    0    0     8  3420 1446 1277 10  2 87  1  0 2026-09-22 08:35:30
 1  0      0 12717812  57672 2679812    0    0     0    52 1348 1120 10  3 87  0  0 2026-09-22 08:35:31
 1  0      0 12696888  57672 2679812    0    0     0     4  514  215 12  1 87  0  0 2026-09-22 08:35:32
 1  0      0 12692868  57672 2679860    0    0     0     0 1343  604 10  2 87  0  0 2026-09-22 08:35:33
 2  0      0 12687072  57672 2679924    0    0     0     8 1343  648 11  2 87  0  0 2026-09-22 08:35:34
 1  0      0 12765176  57672 2679364    0    0     0     4 1382  758 10  2 88  0  0 2026-09-22 08:35:35
 1  0      0 12822076  57676 2608960    0    0     0   116  655  346 12  1 87  0  0 2026-09-22 08:35:36
 1  0      0 12733848  57924 2680536    0    0     8  3896 2413 2127  7  4 87  2  0 2026-09-22 08:35:37
 1  0      0 12717228  57924 2680536    0    0     0     4  423  151 12  0 87  0  0 2026-09-22 08:35:38
 1  0      0 12696600  57924 2680564    0    0     0     0 1193  622 11  2 87  0  0 2026-09-22 08:35:39
 1  0      0 12685036  57924 2680468    0    0     0     0 1794 1188 10  3 87  0  0 2026-09-22 08:35:40
 1  0      0 12680024  57924 2680468    0    0     0     0 1366  696 11  2 87  0  0 2026-09-22 08:35:41
 1  0      0 12830508  57932 2609680    0    0     0   160  833  528 10  1 89  0  0 2026-09-22 08:35:42
 0  1      0 12793184  58452 2618332    0    0   224  7468 5331 7913  7  3 87  4  0 2026-09-22 08:35:43
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 12714504  58668 2691312    0    0    44  5504 2501 2774  8  4 87  1  0 2026-09-22 08:35:44
 1  0      0 12697884  58668 2691312    0    0     0     4  511  269 12  0 87  0  0 2026-09-22 08:35:45
 1  0      0 12681012  58668 2691312    0    0     0     0 1277  641 10  2 88  0  0 2026-09-22 08:35:46
 1  0      0 12670944  58668 2691328    0    0     0     0 2113 1742 11  2 87  0  0 2026-09-22 08:35:47
 1  0      0 12739972  58668 2690840    0    0     0     4 2391 1941 10  3 87  0  0 2026-09-22 08:35:48
 1  0      0 12821196  58672 2620404    0    0     0   104  637  328 12  1 87  0  0 2026-09-22 08:35:49
 0  1      0 12801840  59436 2622264    0    0   508 16300 3154 3534  8  3 87  2  0 2026-09-22 08:35:50
 1  0      0 12710784  59992 2711072    0    0   364 123072 7993 12765  7  4 85  4  0 2026-09-22 08:35:51
 0  1      0 12334584  60900 2726308    0    0  1672 18504 4599 6233  5  3 86  5  0 2026-09-22 08:35:52
 0  1      0 12329800  62412 2727008    0    0    32  7584 9457 14446  3  0 87 10  0 2026-09-22 08:35:53
 1  1      0 12298724  63816 2729032    0    0     0  6576 14083 19413 16  2 73  9  0 2026-09-22 08:35:54
 1  1      0 12269548  65156 2732060    0    0   712  7332 13650 17150 17  1 73  9  0 2026-09-22 08:35:55
 1  1      0 12254680  66400 2739052    0    0  1556 10448 12582 16140 18  1 71 10  0 2026-09-22 08:35:56
 1  1      0 12244864  67728 2743092    0    0    32 10296 12584 15543 16  1 72 11  0 2026-09-22 08:35:57
 1  1      0 12238592  69328 2744280    0    0     0  8984 12710 15498 15  1 73 12  0 2026-09-22 08:35:58
 3  0      0 12235064  70776 2745552    0    0     0  7188 13132 16848 16  1 73 11  0 2026-09-22 08:35:59
 2  0      0 12230024  71916 2747980    0    0     0  9704 10682 13480 15  1 73 12  0 2026-09-22 08:36:00
 1  1      0 12199836  73000 2756644    0    0  5756 11672 13801 17617 21  1 65 13  0 2026-09-22 08:36:01
 2  0      0 12192052  74164 2759056    0    0    96  8340 12407 16185 18  1 71 10  0 2026-09-22 08:36:02
 1  0      0 12177044  75028 2762416    0    0    16  9412 11855 15001 17  1 73  9  0 2026-09-22 08:36:03
 1  1      0 12172588  75412 2763972    0    0     0 10876 10671 14066 15  1 79  5  0 2026-09-22 08:36:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  1      0 12168704  76556 2769140    0    0     0 33752 17166 24724 14  1 69 16  0 2026-09-22 08:36:05
 1  0      0 12164196  77756 2772100    0    0     0 29492 16044 23476 14  1 73 13  0 2026-09-22 08:36:06
 2  0      0 12606916  77824 2759124    0    0     0   480 5798 6723 13  1 86  0  0 2026-09-22 08:36:07
 1  0      0 12233728  78384 2757564    0    0   368 16292 8962 9852 18  4 74  4  0 2026-09-22 08:36:08
 1  2      0 12221660  78712 2759148    0    0    16 11172 12627 17795 17  1 78  4  0 2026-09-22 08:36:09
 2  0      0 12605584  79064 2746756    0    0     0 16476 12724 17842 15  1 78  6  0 2026-09-22 08:36:10
