COMMAND                   AVG_CPU%
mysqld                       160.9
pidstat                        0.4
jbd2/nvme0n1p1-8               0.2
kworker/u4:0+flush-259:0       0.1
kswapd0                        0.1
systemd-journal                0.0
kworker/u4:2-ext4-rsv-conversion       0.0
kworker/u4:1-flush-259:0       0.0
kworker/u4:1-ext4-rsv-conversion       0.0
kworker/u4:1-events_unbound       0.0
kworker/u4:0-flush-259:0       0.0
kworker/u4:0-events_unbound       0.0
kworker/u4:0-events_power_efficient       0.0
kworker/1:4-mm_percpu_wq       0.0
kworker/1:4-events             0.0
