COMMAND                   AVG_CPU%
mysqld                        62.1
nginx                         35.3
pidstat                        0.4
rcu_sched                      0.1
jbd2/nvme0n1p1-8               0.1
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
landscape-sysin                0.0
kworker/u4:3-events_unbound       0.0
kworker/u4:2-ext4-rsv-conversion       0.0
kworker/u4:0-writeback         0.0
kworker/1:4-events             0.0
ksoftirqd/1                    0.0
