procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 12967656  95692 2563172    0    0    42   332  303  292 11  2 87  1  0 2026-09-22 08:51:00
 0  0      0 12954732  95692 2563156    0    0     0     0 2459 2482  1  1 97  0  0 2026-09-22 08:51:01
 0  0      0 12953724  95692 2563156    0    0     0     0  133  122  0  0 100  0  0 2026-09-22 08:51:02
 0  0      0 12953724  95692 2563156    0    0     0     0   42   51  0  0 100  0  0 2026-09-22 08:51:03
 0  0      0 12952212  95692 2563156    0    0     0     0 1621 2216  0  0 100  0  0 2026-09-22 08:51:04
 0  0      0 12948684  95692 2563156    0    0     0  1576 1127 1342  0  0 99  0  0 2026-09-22 08:51:05
 0  0      0 12948684  95692 2563156    0    0     0     0   53   50  0  0 100  0  0 2026-09-22 08:51:06
 0  0      0 12946416  95692 2563156    0    0     0     8 1312 1828  0  0 100  0  0 2026-09-22 08:51:07
 0  0      0 12946416  95692 2563156    0    0     0     0   26   30  0  0 100  0  0 2026-09-22 08:51:08
 2  0      0 12936084  95692 2563156    0    0     0     0 4700 6182  4  0 96  0  0 2026-09-22 08:51:09
 1  0      0 12920040  95696 2563160    0    0     0    48 12766 14214 15  1 84  0  0 2026-09-22 08:51:10
 1  0      0 12909204  95696 2563164    0    0     0     0 16002 17874 17  1 82  0  0 2026-09-22 08:51:11
 1  0      0 12904444  95696 2563164    0    0     0     0 17192 19199 16  1 83  0  0 2026-09-22 08:51:12
 1  0      0 12901168  95696 2563168    0    0     0     0 18011 19999 17  1 82  0  0 2026-09-22 08:51:13
 2  0      0 12896632  95696 2563172    0    0     0    24 18223 20118 18  1 81  0  0 2026-09-22 08:51:14
 2  0      0 12894616  95700 2563176    0    0     0    24 16895 18860 17  1 82  0  0 2026-09-22 08:51:15
 1  0      0 12893356  95700 2563180    0    0     0     0 18941 20971 18  1 81  0  0 2026-09-22 08:51:16
 1  0      0 12891844  95700 2563184    0    0     0     0 16473 17769 18  2 80  0  0 2026-09-22 08:51:17
 1  0      0 12889576  95700 2563188    0    0     0     0 17332 18918 19  1 80  0  0 2026-09-22 08:51:18
 1  0      0 12887840  95700 2563192    0    0     0    72 16600 17944 18  1 80  0  0 2026-09-22 08:51:19
 1  0      0 12886328  95700 2563192    0    0     0    48 18156 19977 17  1 81  0  0 2026-09-22 08:51:20
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 12884340  95700 2563200    0    0     0     0 16655 18371 17  1 82  0  0 2026-09-22 08:51:21
 1  0      0 12881344  95700 2563200    0    0     0     0 16450 17759 18  1 80  0  0 2026-09-22 08:51:22
 1  0      0 12878320  95700 2563204    0    0     0     0 18058 19276 19  2 79  0  0 2026-09-22 08:51:23
 1  0      0 12878068  95700 2563208    0    0     0     0 18484 20270 19  1 79  0  0 2026-09-22 08:51:24
 1  0      0 12877060  95704 2563212    0    0     0    48 17668 19010 19  1 80  0  0 2026-09-22 08:51:25
 1  0      0 12875072  95704 2563216    0    0     0     0 18002 19983 19  1 80  0  0 2026-09-22 08:51:26
 1  0      0 12874848  95704 2563220    0    0     0     0 17569 19490 18  1 81  0  0 2026-09-22 08:51:27
 1  0      0 12872580  95704 2563224    0    0     0     0 16132 17247 19  1 81  0  0 2026-09-22 08:51:28
 1  0      0 12869080  95704 2563224    0    0     0     0 17462 18349 19  1 80  0  0 2026-09-22 08:51:29
 4  0      0 12869080  95708 2563228    0    0     0    44 19075 21151 19  1 80  0  0 2026-09-22 08:51:30
 2  0      0 12869080  95708 2563232    0    0     0    12 18542 20748 17  1 82  0  0 2026-09-22 08:51:31
 1  0      0 12868072  95708 2563236    0    0     0     0 17057 19082 18  1 81  0  0 2026-09-22 08:51:32
 1  0      0 12867848  95708 2563240    0    0     0     0 18694 21335 18  1 81  0  0 2026-09-22 08:51:33
 1  0      0 12867596  95708 2563244    0    0     0     0 17256 19333 19  1 80  0  0 2026-09-22 08:51:34
 1  0      0 12867596  95708 2563248    0    0     0    64 18557 20870 18  2 80  0  0 2026-09-22 08:51:35
 1  0      0 12867596  95708 2563252    0    0     0     0 18504 21085 18  1 80  0  0 2026-09-22 08:51:36
 1  0      0 12866840  95708 2563256    0    0     0     0 18273 20467 20  1 78  0  0 2026-09-22 08:51:37
 3  0      0 12864068  95708 2563260    0    0     0     0 18158 19683 19  2 79  0  0 2026-09-22 08:51:38
 8  0      0 12863564  95708 2563264    0    0     0     0 18940 20729 19  2 79  0  0 2026-09-22 08:51:39
