COMMAND                   AVG_CPU%
mysqld                        69.1
isupipe                       43.7
nginx                         31.2
pdns_server                    8.4
systemd-journal                1.3
pdnsutil                       0.9
rsyslogd                       0.5
pidstat                        0.5
ksoftirqd/1                    0.2
ksoftirqd/0                    0.2
rcu_sched                      0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd-network                0.0
packagekitd                    0.0
