procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2471780  43728 1097580    0    0   115   229   96  144  1  1 98  1  0 2026-09-22 08:51:00
 0  0      0 2471024  43728 1097560    0    0     0     0  118  164  0  0 99  0  0 2026-09-22 08:51:01
 0  0      0 2471024  43728 1097560    0    0     0     0   86  105  0  1 100  0  0 2026-09-22 08:51:02
 0  0      0 2471024  43728 1097560    0    0     0    92   67   63  0  0 100  0  0 2026-09-22 08:51:03
 0  0      0 2471024  43728 1097560    0    0     0     0   45   37  0  0 100  0  0 2026-09-22 08:51:04
 0  0      0 2471024  43728 1097560    0    0     0     0   45   41  0  0 99  0  0 2026-09-22 08:51:05
 0  0      0 2471024  43736 1097560    0    0     0    52   56   56  0  0 100  0  0 2026-09-22 08:51:06
 0  0      0 2471024  43736 1097560    0    0     0     0   29   34  1  0 100  0  0 2026-09-22 08:51:07
 0  0      0 2471024  43736 1097560    0    0     0     0   31   36  0  0 100  0  0 2026-09-22 08:51:08
 0  0      0 2471024  43736 1097560    0    0     0     8   46   33  0  0 100  0  0 2026-09-22 08:51:09
 0  0      0 2471024  43736 1097560    0    0     0     0   32   39  0  0 100  0  0 2026-09-22 08:51:10
 0  0      0 2471024  43744 1097560    0    0     0    16   34   38  0  0 100  0  0 2026-09-22 08:51:11
 1  0      0 2471024  43744 1097560    0    0     0     0   38   36  0  0 100  0  0 2026-09-22 08:51:12
 1  0      0 2471024  43744 1097560    0    0     0     0   25   30  0  1 100  0  0 2026-09-22 08:51:13
 1  0      0 2471024  43744 1097560    0    0     0     0   38   30  0  0 100  0  0 2026-09-22 08:51:14
 1  0      0 2471024  43744 1097560    0    0     0     8   43   39  0  0 100  0  0 2026-09-22 08:51:15
 1  0      0 2471024  43752 1097560    0    0     0    16   51   51  0  0 99  0  0 2026-09-22 08:51:16
 1  0      0 2471024  43752 1097560    0    0     0     0   48   42  0  0 100  0  0 2026-09-22 08:51:17
 1  0      0 2471024  43752 1097560    0    0     0     0   33   41  0  0 100  0  0 2026-09-22 08:51:18
 1  0      0 2471024  43752 1097560    0    0     0     0   45   33  0  0 99  0  0 2026-09-22 08:51:19
 1  0      0 2471024  43752 1097560    0    0     0     0   37   29  0  0 100  0  0 2026-09-22 08:51:20
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2471024  43760 1097560    0    0     0    24   41   45  0  0 100  0  0 2026-09-22 08:51:21
 0  0      0 2471024  43760 1097560    0    0     0     0   30   35  0  0 100  0  0 2026-09-22 08:51:22
 0  0      0 2471024  43760 1097560    0    0     0  3020  361  645  0  0 97  3  0 2026-09-22 08:51:23
 0  0      0 2471024  43760 1097560    0    0     0     0   34   28  0  0 100  0  0 2026-09-22 08:51:24
 0  1      0 2471024  43764 1097556    0    0     0    48   47   37  0  0 100  0  0 2026-09-22 08:51:25
