procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2520884  17608 683512    0    0  1052  1376 10862 8072 24 12 64  1  0 2026-09-22 10:46:44
 0  0      0 2520632  17608 683452    0    0     0     8  177  235  1  0 100  0  0 2026-09-22 10:46:45
 0  0      0 2511308  17608 683452    0    0     0     0 1291 1315  2  2 96  0  0 2026-09-22 10:46:46
 0  0      0 2510384  17608 683452    0    0     0  1064 5706 3663  4  1 96  0  0 2026-09-22 10:46:47
 2  0      0 2785504  17620 405944    0    0     0   112 1024 1211  2  6 92  0  0 2026-09-22 10:46:48
 0  0      0 2769664  17620 400476    0    0     0     0 3485 4925  4  3 94  0  0 2026-09-22 10:46:49
 0  0      0 2769664  17620 400476    0    0     0     0   36   52  0  0 100  0  0 2026-09-22 10:46:50
 0  0      0 2767648  17620 400644    0    0     0     8  928 1416  1  1 99  0  0 2026-09-22 10:46:51
 0  0      0 2767648  17620 400644    0    0     0     4   34   37  0  0 100  0  0 2026-09-22 10:46:52
 4  0      0 2730344  17636 404932    0    0     0  1724 28435 23507 26 13 60  0  0 2026-09-22 10:46:53
 4  0      0 2719264  17636 413656    0    0     0   772 45607 26130 55 22 22  0  0 2026-09-22 10:46:54
 5  0      0 2849516  17636 422264    0    0     0   816 47699 31164 57 23 20  0  0 2026-09-22 10:46:55
 4  0      0 3060748  17636 430524    0    0     0   520 47832 31477 55 23 22  0  0 2026-09-22 10:46:56
 5  0      0 3047712  17636 439180    0    0     0   684 45655 26495 61 19 19  0  1 2026-09-22 10:46:57
 3  0      0 3021556  17644 448080    0    0     0  1916 46792 28106 60 19 20  1  0 2026-09-22 10:46:58
 3  0      0 2999116  17644 457536    0    0     0   148 45018 23622 58 20 22  0  0 2026-09-22 10:46:59
 4  0      0 2968640  17644 466916    0    0     0   892 46162 25597 58 25 17  0  0 2026-09-22 10:47:00
 3  0      0 2944056  17644 475204    0    0     0   840 47128 28458 59 21 21  0  0 2026-09-22 10:47:01
 3  0      0 2917808  17644 484068    0    0     0  1076 47136 29129 55 25 20  0  0 2026-09-22 10:47:02
 3  0      0 2882448  17652 492968    0    0     0  2128 45688 24511 57 23 20  0  0 2026-09-22 10:47:03
 7  0      0 2851976  17652 501780    0    0     0  1288 45555 25733 56 24 20  0  0 2026-09-22 10:47:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 2823776  17652 510392    0    0     0  1700 45718 26744 59 24 17  0  0 2026-09-22 10:47:05
 5  0      0 2791556  17652 519056    0    0     0   728 46374 27469 56 23 21  0  0 2026-09-22 10:47:06
 5  0      0 2782288  17652 527764    0    0    16  1008 43731 23404 59 22 19  0  0 2026-09-22 10:47:07
 7  0      0 2750336  17660 536468    0    0     0  1520 45286 24538 61 21 19  0  0 2026-09-22 10:47:08
 5  0      0 2713568  17660 545352    0    0     8  3000 44365 24191 60 23 17  0  0 2026-09-22 10:47:09
 4  0      0 2702512  17660 553808    0    0     0  1552 45926 28316 56 24 20  0  0 2026-09-22 10:47:10
 5  0      0 2668000  17676 562252    0    0     0  1196 45589 29516 56 26 17  0  0 2026-09-22 10:47:11
 6  0      0 2644636  17676 570644    0    0     8  1348 44094 26843 56 22 21  0  0 2026-09-22 10:47:12
 4  0      0 2622688  17676 579136    0    0     0  1460 43100 24395 59 20 21  0  0 2026-09-22 10:47:13
 7  1      0 2585416  17676 587632    0    0     0  6252 45262 26742 57 20 23  0  0 2026-09-22 10:47:14
 2  0      0 2570940  17676 595956    0    0     0  4864 44715 28999 60 21 19  0  0 2026-09-22 10:47:15
 1  0      0 2541436  17688 604452    0    0    36  1468 45397 32125 52 27 22  0  0 2026-09-22 10:47:16
 2  0      0 2513344  17688 612696    0    0     0  1044 42604 28479 59 20 21  0  0 2026-09-22 10:47:17
 2  0      0 2492948  17860 623064    0    0  2244  1188 42893 29362 56 21 21  1  1 2026-09-22 10:47:18
 3  0      0 2461492  17860 631408    0    0     0 67268 44392 30696 56 23 21  1  0 2026-09-22 10:47:19
 2  0      0 2452272  17860 640100    0    0     0  1976 42322 27323 55 25 20  0  0 2026-09-22 10:47:20
 2  0      0 2421356  17860 648696    0    0     0   900 44371 30193 55 21 24  0  0 2026-09-22 10:47:21
 3  0      0 2395368  17860 657420    0    0     0  1152 43731 28432 58 22 20  0  0 2026-09-22 10:47:22
 4  0      0 2384880  17868 666984    0    0     0  1824 44311 28983 59 20 21  1  0 2026-09-22 10:47:23
 2  1      0 2336828  17868 675356    0    0     0 23052 44627 31336 58 24 18  0  0 2026-09-22 10:47:24
 2  0      0 2330712  17868 683624    0    0     0 111624 42146 24824 56 21 21  1  0 2026-09-22 10:47:25
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2320232  17868 692384    0    0     0   940 41910 26355 55 24 22  0  0 2026-09-22 10:47:26
 3  0      0 2294352  17868 694964    0    0     0  1012 51695 43604 47 24 29  0  0 2026-09-22 10:47:27
