COMMAND                   AVG_CPU%
mysqld                        66.3
nginx                         28.6
pidstat                        0.4
systemd-timedat                0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
snapd                          0.0
rcu_sched                      0.0
kworker/u4:2-writeback         0.0
kworker/u4:1-ext4-rsv-conversion       0.0
kworker/u4:0+flush-259:0       0.0
