COMMAND                   AVG_CPU%
mysqld                        88.7
isupipe                       39.9
nginx                          7.8
pdns_server                    5.7
systemd-journal                0.9
pdnsutil                       0.7
rsyslogd                       0.4
pidstat                        0.4
rcu_sched                      0.1
jbd2/nvme0n1p1-8               0.1
systemd-logind                 0.0
systemd                        0.0
mysql                          0.0
kworker/u4:3-writeback         0.0
kworker/u4:3-flush-259:0       0.0
