COMMAND                   AVG_CPU%
nginx                        110.7
kworker/u4:2-ext4-rsv-conversion       0.6
pidstat                        0.4
kworker/u4:3-ext4-rsv-conversion       0.2
kworker/u4:1-ext4-rsv-conversion       0.2
rcu_sched                      0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
multipathd                     0.0
kworker/u4:3-writeback         0.0
kworker/u4:3-flush-259:0       0.0
kworker/u4:2-events_power_efficient       0.0
kworker/u4:1-writeback         0.0
