procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 3005832  14384 344472    0    0  9605   719 1167 2165 13 22 58  7  1 2026-09-22 11:35:01
 0  0      0 3004836  14384 344672    0    0    72     0  312  510  1  0 99  0  0 2026-09-22 11:35:02
 0  0      0 3000000  16044 345104    0    0   160 15432 10998 17634  8  5 56 32  0 2026-09-22 11:35:03
 0  1      0 2948844  17488 351684    0    0    32 29084 8693 13155 13  5 58 23  0 2026-09-22 11:35:04
 0  0      0 2950084  18420 358252    0    0   160 24528 4231 6468 15  3 65 17  0 2026-09-22 11:35:05
 0  0      0 2950084  18428 358244    0    0     0    96  348  536  0  0 100  0  0 2026-09-22 11:35:06
 1  0      0 2950084  18428 358252    0    0     0  5448  690  961  0  1 98  2  0 2026-09-22 11:35:07
 0  0      0 2949832  18784 358224    0    0     0  6996  947 1769  0  1 92  8  0 2026-09-22 11:35:08
 0  0      0 2949832  18784 358252    0    0     0     0  260  447  0  0 100  0  0 2026-09-22 11:35:09
 3  0      0 2941520  19352 358892    0    0    80  9608 18752 19704 23  8 63  6  0 2026-09-22 11:35:10
 5  0      0 2920240  19488 359952    0    0    48  2628 23488 23589 30 11 57  2  0 2026-09-22 11:35:11
 1  0      0 2893444  19640 361648    0    0    16  1732 30773 28662 39 16 44  2  0 2026-09-22 11:35:12
 3  0      0 2886288  19880 363308    0    0    16 11580 32546 30795 41 15 41  3  0 2026-09-22 11:35:13
 5  0      0 2881752  20016 364832    0    0     0  9944 30609 28238 36 18 44  2  0 2026-09-22 11:35:14
 7  0      0 2876632  20088 366628    0    0     0  1316 32263 29644 37 16 46  1  0 2026-09-22 11:35:15
 1  0      0 2872260  20144 368316    0    0     0  1188 33424 30235 41 17 42  0  0 2026-09-22 11:35:16
10  0      0 2864696  20200 370180    0    0     0  2000 35631 31501 42 17 41  1  0 2026-09-22 11:35:17
 1  0      0 2861704  20248 371952    0    0     0  1268 33425 30029 39 19 41  0  0 2026-09-22 11:35:18
 5  0      0 2856940  20304 373444    0    0     0  1196 31255 28302 38 16 46  1  0 2026-09-22 11:35:19
 6  0      0 2848704  20408 375280    0    0     0 10552 34912 29562 38 19 42  2  0 2026-09-22 11:35:20
12  0      0 2844528  20440 376692    0    0     0  8000 32027 28535 38 15 46  1  0 2026-09-22 11:35:21
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 2838712  20468 378440    0    0     0  2076 34459 28637 42 17 40  0  0 2026-09-22 11:35:22
 8  0      0 2832408  20516 379976    0    0     0  2412 33517 27773 37 17 45  1  0 2026-09-22 11:35:23
 5  0      0 2834164  20560 381196    0    0     0  2376 31321 27184 37 19 44  0  0 2026-09-22 11:35:24
 4  0      0 2830440  20584 382572    0    0     0  1204 31145 26705 36 16 48  0  0 2026-09-22 11:35:25
