    t     req newconn  fullhs      h2
    0    5465     290     290       0
    5    9501     448     448       0
   10   10102     464     464       0
   15    8933     490     490       0
   20    9196     554     554       0
   25    7592     561     561       0
   30    7653     648     648       0
   35    9007     763     763       0
   40    9049     697     697       0
   45    7793     695     695       0
   50    8004     703     703       0
   55    7954     681     681       0
   60     745      73      73       0
