COMMAND                   AVG_CPU%
mysqld                        59.3
nginx                         31.6
landscape-sysin                0.5
pidstat                        0.4
sshd                           0.1
rcu_sched                      0.1
jbd2/nvme0n1p1-8               0.1
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
kworker/u4:2-events_unbound       0.0
kworker/u4:1-flush-259:0       0.0
kworker/u4:1-events_unbound       0.0
ksoftirqd/1                    0.0
ksoftirqd/0                    0.0
