procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2613212  15176 597884    0    0 14530   210 1076 1954 12 22 52 13  1 2026-09-22 11:35:00
 0  0      0 2611196  15312 598292    0    0   196     0  224  331  1  0 98  0  0 2026-09-22 11:35:01
 0  0      0 2593052  15864 601484    0    0  3804     0 1757 1823  2  3 94  2  0 2026-09-22 11:35:02
 0  0      0 2590644  15864 603780    0    0  2192     0 3860 3248  3  2 94  0  0 2026-09-22 11:35:03
 1  0      0 2778848  15884 389880    0    0  1180    84  798  914  3  4 93  1  0 2026-09-22 11:35:04
 1  0      0 2846624  15888 321048    0    0   132     0 3586 5139  3  3 94  0  0 2026-09-22 11:35:05
 1  0      0 2846624  15888 321048    0    0     0     8   59   66  0  0 100  0  0 2026-09-22 11:35:06
 1  0      0 2845116  15888 321104    0    0     0     0  960 1509  1  0 99  0  0 2026-09-22 11:35:07
 1  0      0 2845116  15904 321088    0    0     0  1664   67   58  0  0 99  0  0 2026-09-22 11:35:08
 2  0      0 2815688  15904 324764    0    0  1288   344 16240 17263 15  5 80  1  0 2026-09-22 11:35:09
 3  0      0 2734384  15904 332964    0    0     0   744 46513 43425 42 21 37  0  0 2026-09-22 11:35:10
 4  0      0 2636992  15904 341984    0    0     0   788 48479 37381 47 24 29  0  0 2026-09-22 11:35:11
 4  0      0 2534296  15904 350628    0    0     0   720 50408 37631 47 26 27  0  0 2026-09-22 11:35:12
 3  0      0 2431196  15912 359116    0    0     0  1020 48155 32567 48 23 29  0  0 2026-09-22 11:35:13
 4  0      0 2323496  15912 368028    0    0     0   680 50024 34861 50 23 26  0  0 2026-09-22 11:35:14
 4  0      0 2216380  15912 377248    0    0     0   224 50218 32976 49 26 25  0  0 2026-09-22 11:35:15
 4  0      0 2110536  15912 386592    0    0     0  5648 47650 28441 51 22 26  1  0 2026-09-22 11:35:16
 3  0      0 1990892  15912 395824    0    0     0   896 46877 26496 51 23 26  0  0 2026-09-22 11:35:17
 3  2      0 1884996  15916 404544    0    0     0  1260 49518 32131 55 21 24  0  0 2026-09-22 11:35:18
 2  0      0 1849816  15920 413476    0    0     0   972 45572 24267 57 17 26  0  0 2026-09-22 11:35:19
 2  0      0 1838220  15924 423060    0    0   196   712 48956 31327 53 19 27  0  0 2026-09-22 11:35:20
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 1820864  15924 437108    0    0  4724  2664 48352 33039 55 17 27  1  1 2026-09-22 11:35:21
 2  0      0 1803672  15924 448716    0    0  2788  1236 49870 34392 52 20 28  1  0 2026-09-22 11:35:22
 4  1      0 1786016  15936 464780    0    0  6796  1784 47165 30371 57 17 24  1  0 2026-09-22 11:35:23
 2  0      0 1872872  15936 479324    0    0  4968  1176 50397 31159 53 21 26  1  0 2026-09-22 11:35:24
 3  0      0 1866772  15936 494012    0    0  5392  1104 48525 34608 52 22 25  1  0 2026-09-22 11:35:25
 1  0      0 2005476  15936 506292    0    0  3264  1356 51421 35429 52 22 26  1  0 2026-09-22 11:35:26
 1  0      0 2031852  15936 519480    0    0  3772  1460 48377 29808 50 21 29  0  0 2026-09-22 11:35:27
 2  0      0 2029180  15948 530676    0    0  2152  1940 46340 31607 52 22 26  1  0 2026-09-22 11:35:28
 3  0      0 2028700  15948 542256    0    0  2328  1384 48907 36844 54 17 29  1  0 2026-09-22 11:35:29
 2  0      0 2027952  15948 553480    0    0  2096  1264 47046 32768 52 20 28  0  0 2026-09-22 11:35:30
 2  0      0 2026224  15948 564016    0    0  1496  1672 51014 41037 50 23 26  1  0 2026-09-22 11:35:31
 2  0      0 2023492  15948 574748    0    0  1436  1152 46758 35720 53 18 28  0  0 2026-09-22 11:35:32
 1  0      0 2014052  15956 584328    0    0  1356  1460 45331 38226 46 20 34  0  0 2026-09-22 11:35:33
 0  0      0 1995780  15956 595668    0    0  1860   940 46992 35236 50 19 30  1  0 2026-09-22 11:35:34
 2  0      0 1979104  15956 605564    0    0  1672  1692 46346 36557 51 19 30  1  0 2026-09-22 11:35:35
 2  0      0 1959340  15956 614600    0    0  1020  9192 45601 37533 49 22 28  1  0 2026-09-22 11:35:36
 2  0      0 1949516  15956 624868    0    0  1016  1456 47092 36657 51 20 28  0  0 2026-09-22 11:35:37
 1  0      0 1938968  15964 635596    0    0  1240  1632 45991 34366 53 18 29  0  0 2026-09-22 11:35:38
 2  0      0 1928992  15964 645372    0    0   664  2188 48239 37504 50 23 27  0  0 2026-09-22 11:35:39
 3  0      0 1918180  15964 655852    0    0  1004 68268 47013 36397 54 19 26  2  0 2026-09-22 11:35:40
 2  0      0 1908112  15964 665996    0    0  1036  1484 45038 34845 48 18 33  0  0 2026-09-22 11:35:41
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 1901560  15964 672548    0    0   944   984 52854 46517 43 25 31  0  0 2026-09-22 11:35:42
 3  0      0 1900052  15972 673684    0    0   880  2364 56782 53685 40 24 36  0  0 2026-09-22 11:35:43
 3  0      0 1866064  15972 674708    0    0   740  1304 55223 48191 38 26 37  0  0 2026-09-22 11:35:44
 3  0      0 1805452  15980 675520    0    0   432 162944 55973 50632 39 27 30  4  0 2026-09-22 11:35:45
 2  0      0 1744060  15980 675864    0    0   204  1548 56705 51089 42 20 39  0  0 2026-09-22 11:35:46
 3  0      0 1683932  15980 676432    0    0   636  7940 56544 51624 39 24 35  2  0 2026-09-22 11:35:47
 3  0      0 1618172  15992 677056    0    0   324  2604 56128 49949 38 24 38  0  0 2026-09-22 11:35:48
 3  0      0 1561616  15992 677664    0    0   384  2896 53357 45777 42 22 35  0  0 2026-09-22 11:35:49
 0  1      0 1556264  17228 678300    0    0  1696  1008 54060 48237 39 22 37  2  0 2026-09-22 11:35:50
 2  1      0 1542768  23664 681292    0    0  6800  1344 56789 51539 39 27 17 17  0 2026-09-22 11:35:51
 2  0      0 1540556  24776 682372    0    0  1448  5964 56384 51258 42 22 32  4  0 2026-09-22 11:35:52
 2  0      0 1532276  24784 682840    0    0   344  1784 55883 51507 41 21 38  0  0 2026-09-22 11:35:53
 0  0      0 1558272  24784 683384    0    0   228  1176 56734 52506 38 21 41  0  0 2026-09-22 11:35:54
 1  0      0 1546064  24784 684072    0    0   364  1028 55532 50645 40 20 40  1  0 2026-09-22 11:35:55
 3  0      0 1544412  24784 684652    0    0   364  1068 55868 50902 41 19 39  0  0 2026-09-22 11:35:56
 4  0      0 1542956  24784 684948    0    0     4  1564 55052 51013 41 20 39  0  0 2026-09-22 11:35:57
 2  0      0 1542212  24792 685276    0    0   100  1932 56517 51427 43 21 37  0  0 2026-09-22 11:35:58
 2  0      0 1540444  24792 685496    0    0   104  1408 55014 49014 38 22 40  0  0 2026-09-22 11:35:59
 2  0      0 1538564  24792 685944    0    0   160  1072 54354 50012 42 21 37  0  0 2026-09-22 11:36:00
 3  0      0 1533120  24792 686416    0    0   108  1616 54897 50071 38 25 37  0  0 2026-09-22 11:36:01
 0  0      0 1531888  24792 686808    0    0   164  1280 53884 48272 39 24 37  0  1 2026-09-22 11:36:02
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 1529884  24804 687752    0    0   252  1660 55820 49519 43 22 35  0  0 2026-09-22 11:36:03
 2  0      0 1526920  24804 688996    0    0   164  1064 54409 51847 37 21 41  0  0 2026-09-22 11:36:04
 1  0      0 1485468  24804 690348    0    0   224  1512 54168 47537 38 22 40  0  0 2026-09-22 11:36:05
 3  0      0 1422572  24804 690480    0    0    48   848 54544 49069 40 24 36  0  0 2026-09-22 11:36:06
 4  0      0 1358352  24804 690932    0    0   220 10648 54221 50183 41 23 35  1  0 2026-09-22 11:36:07
 3  0      0 1288852  24812 691144    0    0    60  1920 53231 46506 38 23 38  0  0 2026-09-22 11:36:08
 0  0      0 1261708  24812 691440    0    0   108  1716 33282 26104 28 17 55  1  0 2026-09-22 11:36:09
 0  0      0 1261708  24812 691444    0    0     0     0   41   48  0  0 100  0  0 2026-09-22 11:36:10
 0  0      0 1245900  26692 697036    0    0  6375  7312 2442 4502 40 11 32 18  0 2026-09-22 11:36:11
