COMMAND                   AVG_CPU%
isupipe                      112.0
pidstat                        0.5
mysqld                         0.3
ksoftirqd/0                    0.1
systemd-journal                0.0
rcu_sched                      0.0
packagekitd                    0.0
mysql                          0.0
multipathd                     0.0
kworker/u4:3-events_power_efficient       0.0
kworker/u4:0-events_unbound       0.0
ksoftirqd/1                    0.0
irqbalance                     0.0
amazon-ssm-agen                0.0
