COMMAND                   AVG_CPU%
isupipe                      120.5
systemd-journal                1.5
rsyslogd                       0.6
pidstat                        0.5
rcu_sched                      0.1
kworker/u4:3+flush-259:0       0.1
kworker/u4:0-ext4-rsv-conversion       0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd-logind                 0.0
systemd                        0.0
snapd                          0.0
mysql                          0.0
multipathd                     0.0
