COMMAND                   AVG_CPU%
isupipe                      102.7
nginx                         14.3
systemd-journal                1.0
pidstat                        0.5
rsyslogd                       0.4
rcu_sched                      0.1
kworker/u4:2-ext4-rsv-conversion       0.1
kworker/u4:0-writeback         0.1
kworker/u4:0-flush-259:0       0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
mysql                          0.0
kworker/u4:3-ext4-rsv-conversion       0.0
kworker/u4:3-events_power_efficient       0.0
kworker/u4:0+flush-259:0       0.0
