sudo: unable to resolve host ip-10-100-0-64: Name or service not known
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+-------+--------+------+-----+
| COUNT  | METHOD |                        URI                        |  MIN  |  AVG  |  MAX  |  SUM   |  P99  |  2XX  |  3XX   | 4XX  | 5XX |
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+-------+--------+------+-----+
| 440216 | GET    | ^/api/user/[^/]+/icon                             | 0.000 | 0.000 | 0.501 | 31.999 | 0.004 | 1193  | 439023 | 0    | 0   |
| 16275  | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.001 | 0.040 | 23.956 | 0.004 | 16273 | 0      | 2    | 0   |
| 11152  | GET    | /api/livestream/search                            | 0.000 | 0.002 | 0.016 | 21.140 | 0.004 | 11152 | 0      | 0    | 0   |
| 13834  | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.001 | 0.032 | 19.768 | 0.004 | 13834 | 0      | 0    | 0   |
| 2489   | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.004 | 0.007 | 0.036 | 16.492 | 0.020 | 2489  | 0      | 0    | 0   |
| 4011   | POST   | /api/register                                     | 0.004 | 0.004 | 0.048 | 16.412 | 0.008 | 4009  | 0      | 1    | 1   |
| 10178  | GET    | /api/livestream                                   | 0.004 | 0.001 | 0.016 | 14.872 | 0.004 | 10178 | 0      | 0    | 0   |
| 15141  | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.004 | 0.001 | 0.008 | 13.780 | 0.004 | 15141 | 0      | 0    | 0   |
| 15175  | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.001 | 0.008 | 13.012 | 0.004 | 15175 | 0      | 0    | 0   |
| 4720   | POST   | /api/icon                                         | 0.004 | 0.002 | 0.048 | 11.628 | 0.008 | 4720  | 0      | 0    | 0   |
| 5921   | GET    | ^/api/livestream/[0-9]+/report                    | 0.004 | 0.002 | 0.012 | 10.488 | 0.004 | 5920  | 0      | 1    | 0   |
| 4017   | POST   | /api/login                                        | 0.000 | 0.002 | 0.008 | 10.008 | 0.004 | 4015  | 0      | 2    | 0   |
| 2679   | POST   | /api/livestream/reservation                       | 0.004 | 0.003 | 0.020 | 8.044  | 0.012 | 561   | 0      | 2118 | 0   |
| 7062   | GET    | /api/tag                                          | 0.000 | 0.001 | 0.008 | 5.344  | 0.004 | 7062  | 0      | 0    | 0   |
| 4198   | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.000 | 0.001 | 0.008 | 2.852  | 0.004 | 4198  | 0      | 0    | 0   |
| 1      | POST   | /api/initialize                                   | 2.716 | 2.716 | 2.716 | 2.716  | 2.716 | 1     | 0      | 0    | 0   |
| 334    | GET    | ^/api/user/[^/]+/statistics                       | 0.004 | 0.008 | 0.052 | 2.672  | 0.036 | 334   | 0      | 0    | 0   |
| 1322   | POST   | ^/api/livestream/[0-9]+/enter                     | 0.000 | 0.002 | 0.008 | 2.088  | 0.004 | 1322  | 0      | 0    | 0   |
| 1317   | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.004 | 0.001 | 0.016 | 1.884  | 0.004 | 1317  | 0      | 0    | 0   |
| 146    | GET    | ^/api/livestream/[0-9]+/statistics                | 0.004 | 0.006 | 0.012 | 0.900  | 0.012 | 146   | 0      | 0    | 0   |
| 332    | GET    | ^/api/user/[^/]+/livestream                       | 0.000 | 0.002 | 0.008 | 0.656  | 0.008 | 332   | 0      | 0    | 0   |
| 333    | GET    | ^/api/user/[^/]+/theme                            | 0.000 | 0.002 | 0.008 | 0.544  | 0.004 | 333   | 0      | 0    | 0   |
| 29     | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.004 | 0.003 | 0.008 | 0.088  | 0.008 | 29    | 0      | 0    | 0   |
| 1      | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 1     | 0      | 0    | 0   |
| 1      | GET    | /api/payment                                      | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 1     | 0      | 0    | 0   |
| 4      | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 4     | 0      | 0    | 0   |
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+-------+--------+------+-----+
