procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2482280  42052 1095776    0    0   231   420  145  228  2  1 96  2  0 2026-09-22 08:31:50
 0  0      0 2480768  42064 1095736    0    0     0   176  160  224  0  0 100  0  0 2026-09-22 08:31:51
 0  0      0 2480768  42064 1095736    0    0     0     0   30   42  0  1 100  0  0 2026-09-22 08:31:52
 0  0      0 2480768  42064 1095736    0    0     0     0   28   36  0  0 100  0  0 2026-09-22 08:31:53
 0  0      0 2480768  42064 1095736    0    0     0     0   30   43  0  0 100  0  0 2026-09-22 08:31:54
 0  0      0 2480768  42064 1095736    0    0     0     0   28   31  0  0 100  0  0 2026-09-22 08:31:55
 0  0      0 2480768  42072 1095728    0    0     0   160   62   64  0  0 100  0  0 2026-09-22 08:31:56
 0  0      0 2480768  42072 1095736    0    0     0     0   23   30  0  0 100  0  0 2026-09-22 08:31:57
 0  0      0 2480768  42072 1095736    0    0     0     0   33   44  0  0 100  0  0 2026-09-22 08:31:58
 0  0      0 2480768  42072 1095736    0    0     0     0   21   24  0  0 100  0  0 2026-09-22 08:31:59
 0  0      0 2480768  42072 1095736    0    0     0     0   26   28  0  0 100  0  0 2026-09-22 08:32:00
 0  0      0 2480768  42072 1095736    0    0     0    32   33   33  0  0 100  0  0 2026-09-22 08:32:01
 0  0      0 2479760  42080 1095736    0    0     0    24   93  104  0  1 99  0  0 2026-09-22 08:32:02
 0  0      0 2479760  42080 1095736    0    0     0     0   30   34  0  0 100  0  0 2026-09-22 08:32:03
 0  0      0 2479760  42080 1095736    0    0     0     0   31   39  0  0 100  0  1 2026-09-22 08:32:04
 0  0      0 2479760  42080 1095736    0    0     0     0   34   34  0  0 100  0  0 2026-09-22 08:32:05
 0  0      0 2479760  42080 1095736    0    0     0     0   30   34  0  0 100  0  0 2026-09-22 08:32:06
 0  0      0 2479760  42088 1095736    0    0     0    76   47   50  0  0 100  0  0 2026-09-22 08:32:07
 0  0      0 2479760  42088 1095736    0    0     0     8   49   46  0  0 100  0  0 2026-09-22 08:32:08
 0  0      0 2479760  42088 1095736    0    0     0     0   26   29  0  0 100  0  0 2026-09-22 08:32:09
 0  0      0 2479760  42088 1095736    0    0     0     0   30   34  0  1 100  0  0 2026-09-22 08:32:10
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2479760  42088 1095736    0    0     0     0   28   31  0  0 100  0  0 2026-09-22 08:32:11
 0  0      0 2479760  42096 1095728    0    0     0    16   35   39  0  0 100  0  0 2026-09-22 08:32:12
 0  0      0 2479760  42096 1095736    0    0     0     0   29   34  0  0 100  0  0 2026-09-22 08:32:13
 0  0      0 2479760  42096 1095736    0    0     0     8   38   39  0  0 100  0  0 2026-09-22 08:32:14
 0  0      0 2479760  42096 1095736    0    0     0     0   32   30  0  0 100  0  0 2026-09-22 08:32:15
 1  0      0 2479760  42096 1095736    0    0     0     0   32   34  0  0 100  0  0 2026-09-22 08:32:16
 1  0      0 2479760  42104 1095736    0    0     0    20   51   51  0  0 100  0  0 2026-09-22 08:32:17
 1  0      0 2479760  42104 1095736    0    0     0     0   29   34  0  0 100  0  0 2026-09-22 08:32:18
 1  0      0 2479760  42104 1095736    0    0     0  1300  182  308  0  0 98  1  0 2026-09-22 08:32:19
 1  0      0 2479760  42104 1095736    0    0     0     8   39   36  0  1 100  0  0 2026-09-22 08:32:20
 1  0      0 2479760  42104 1095736    0    0     0     0   27   31  0  0 100  0  0 2026-09-22 08:32:21
 1  0      0 2479760  42112 1095728    0    0     0    32   38   38  0  0 100  0  0 2026-09-22 08:32:22
 0  0      0 2479760  42112 1095736    0    0     0     0   28   30  0  1 100  0  0 2026-09-22 08:32:23
 0  0      0 2479760  42112 1095736    0    0     0     0   34   37  0  0 100  0  0 2026-09-22 08:32:24
 0  0      0 2479760  42112 1095736    0    0     0     0   31   33  0  0 100  0  0 2026-09-22 08:32:25
 0  1      0 2479760  42116 1095736    0    0     0    32   42   46  0  0 100  0  0 2026-09-22 08:32:26
 0  0      0 2479760  42120 1095740    0    0     0    28   42   44  0  0 100  0  0 2026-09-22 08:32:27
 0  0      0 2479760  42120 1095744    0    0     0     0   26   30  0  0 100  0  0 2026-09-22 08:32:28
 0  0      0 2479760  42120 1095744    0    0     0     0   30   31  0  0 100  0  0 2026-09-22 08:32:29
 0  0      0 2479760  42120 1095744    0    0     0     0   33   38  0  0 100  0  0 2026-09-22 08:32:30
 0  1      0 2479760  42128 1095744    0    0     0    16   31   35  0  0 100  0  0 2026-09-22 08:32:31
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
