COMMAND                   AVG_CPU%
mysqld                        77.8
isupipe                       33.0
pdns_server                    6.9
nginx                          6.2
systemd-journal                0.9
pdnsutil                       0.7
jbd2/nvme0n1p1-8               0.7
rsyslogd                       0.4
pidstat                        0.4
rcu_sched                      0.1
mysql                          0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd                        0.0
snapd                          0.0
