COMMAND                   AVG_CPU%
mysqld                        58.0
nginx                         48.2
pidstat                        0.5
jbd2/nvme0n1p1-8               0.2
kworker/u4:3-ext4-rsv-conversion       0.1
kworker/u4:2-ext4-rsv-conversion       0.1
vmstat                         0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
rcu_sched                      0.0
kworker/u4:3-writeback         0.0
kworker/u4:3-flush-259:0       0.0
kworker/u4:3-events_unbound       0.0
