    t     req newconn  fullhs      h2
    0     622      30      30       0
    5    7785     367     367       0
   10    9944     461     461       0
   15    9753     467     467       0
   20    9732     526     526       0
   25    9337     526     526       0
   30    8658     570     570       0
   35    8130     696     696       0
   40    9457     766     766       0
   45    9809     786     786       0
   50    9368     712     712       0
   55    8294     715     715       0
   60    7946     610     610       0
