    t     req newconn  fullhs      h2
    0      44      16      16       0
    5   14495     502     502       0
   10   54257    1707    1707       0
   15   51342    1802    1802       0
   20   50508    1854    1854       0
   25   49947    2007    2007       0
   30   48613    1963    1963       0
   35   48976    2045    2045       0
   40   55594    1340    1340       0
   45   57000    1066    1066       0
   50   58599    1034    1034       0
   55   56356     976     976       0
   60   55033     933     933       0
   65   39604     672     672       0
