COMMAND                   AVG_CPU%
isupipe                      111.9
systemd-journal                1.1
rsyslogd                       0.4
pidstat                        0.4
rcu_sched                      0.1
kworker/u4:2-ext4-rsv-conversion       0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
snapd                          0.0
mysql                          0.0
multipathd                     0.0
kworker/u4:3-ext4-rsv-conversion       0.0
kworker/u4:2-flush-259:0       0.0
kworker/u4:2-events_power_efficient       0.0
