procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 1349092  98544 1592476    0    0    69  1037 3775  660 22  7 69  2  0 2026-09-22 09:33:09
 0  0      0 1348588  98544 1592440    0    0     0     8  323  566  1  0 100  0  0 2026-09-22 09:33:10
 2  0      0 1332460  98544 1592440    0    0     0    20  498  688  1  1 98  0  0 2026-09-22 09:33:11
 0  0      0 1328764  98544 1592440    0    0     0     0 7188 4905  4  2 94  0  0 2026-09-22 09:33:12
 0  0      0 1328316  98544 1592440    0    0     0     0  660  646  3  1 97  0  0 2026-09-22 09:33:13
 0  0      0 1313196  98544 1592440    0    0     0    84 3796 5706  4  2 94  0  0 2026-09-22 09:33:14
 1  0      0 1313196  98544 1592440    0    0     0     0  214  372  0  0 100  0  0 2026-09-22 09:33:15
 1  0      0 1311936  98544 1592440    0    0     0     8 1405 2262  0  1 98  0  0 2026-09-22 09:33:16
 1  0      0 1311936  98544 1592440    0    0     0     0  210  381  0  0 100  0  0 2026-09-22 09:33:17
 3  0      0 1240520  98544 1592440    0    0     0     0 23521 17053 24 11 65  0  0 2026-09-22 09:33:18
 3  0      0 1133520  98544 1592440    0    0     0     0 43486 14729 62 18 20  0  0 2026-09-22 09:33:19
 4  0      0 1222508  98544 1592440    0    0     0    24 45629 20342 59 17 24  0  0 2026-09-22 09:33:20
 3  0      0 1310264  98544 1592440    0    0     0     0 46238 17172 59 20 21  0  0 2026-09-22 09:33:21
 4  0      0 1532904  98544 1592440    0    0     0     8 45956 20279 62 18 20  0  0 2026-09-22 09:33:22
 4  0      0 1565152  98544 1592440    0    0     0     4 45748 20789 61 15 24  0  0 2026-09-22 09:33:23
 3  0      0 1558648  98544 1592440    0    0     0     0 45890 18665 62 17 20  0  0 2026-09-22 09:33:24
 3  0      0 1551092  98544 1592440    0    0     0    12 45219 17881 65 16 19  0  0 2026-09-22 09:33:25
 4  0      0 1541236  98544 1592440    0    0     0     0 46836 18963 60 20 20  0  0 2026-09-22 09:33:26
 3  0      0 1530152  98544 1592440    0    0     0     0 46532 25618 53 20 27  0  0 2026-09-22 09:33:27
 4  0      0 1519828  98544 1592440    0    0     0     8 43823 29279 44 19 37  0  0 2026-09-22 09:33:28
 4  0      0 1512644  98544 1592440    0    0     0     0 44862 27985 48 21 31  0  0 2026-09-22 09:33:29
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 1501372  98544 1592444    0    0     0    12 45494 24542 55 17 28  0  0 2026-09-22 09:33:30
 3  0      0 1496668  98544 1592444    0    0     0     0 44168 30459 46 18 35  0  0 2026-09-22 09:33:31
 3  0      0 1483872  98544 1592444    0    0     0  1448 43558 28088 43 18 37  1  0 2026-09-22 09:33:32
 2  0      0 1474812  98544 1592444    0    0     0     0 38940 33843 37 14 49  0  0 2026-09-22 09:33:33
 3  2      0 1473356  98544 1592444    0    0     0    36 37580 31394 35 11 54  0  1 2026-09-22 09:33:34
 3  0      0 1462020  98544 1592444    0    0     0     4 45205 20865 57 18 25  0  0 2026-09-22 09:33:35
 3  0      0 1458240  98544 1592444    0    0     0     0 41568 38305 35 14 50  0  0 2026-09-22 09:33:36
 2  0      0 1450432  98544 1592520    0    0     0   704 41674 30072 45 17 38  1  0 2026-09-22 09:33:37
 2  0      0 1445392  98544 1592624    0    0     0     0 40027 27400 41 17 42  0  0 2026-09-22 09:33:38
 0  0      0 1437836  98544 1592656    0    0     0     0 37699 36706 32 13 55  0  0 2026-09-22 09:33:39
 3  0      0 1434560  98544 1592764    0    0     0    40 43364 34921 41 14 45  0  0 2026-09-22 09:33:40
 0  0      0 1431788  98544 1592800    0    0     0     0 43945 35804 42 14 43  0  0 2026-09-22 09:33:41
 0  0      0 1426804  98544 1592804    0    0     0   904 43274 35077 43 17 40  0  0 2026-09-22 09:33:42
 2  0      0 1421576  98544 1592832    0    0     0     0 38467 36192 34 14 53  0  0 2026-09-22 09:33:43
 2  0      0 1415588  98544 1592840    0    0     0     0 36722 40013 29 13 58  0  0 2026-09-22 09:33:44
 4  0      0 1412820  98544 1592984    0    0     0    48 43595 35780 43 18 38  0  0 2026-09-22 09:33:45
 0  0      0 1407024  98544 1593000    0    0     0    16 45835 36676 47 20 33  0  0 2026-09-22 09:33:46
 3  0      0 1399968  98544 1593012    0    0     0    80 37852 33145 36 16 49  0  0 2026-09-22 09:33:47
 3  0      0 1390400  98544 1593132    0    0     0     0 45700 34443 54 17 29  0  0 2026-09-22 09:33:48
 3  0      0 1383624  98544 1593176    0    0     0     0 42648 41940 38 14 48  0  0 2026-09-22 09:33:49
 2  0      0 1376576  98544 1593184    0    0     0    64 43107 35021 44 17 40  0  0 2026-09-22 09:33:50
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 1369520  98544 1593200    0    0     0     0 42405 35537 45 18 37  0  0 2026-09-22 09:33:51
 4  0      0 1365740  98544 1593312    0    0     0    84 39593 38121 33 15 52  0  0 2026-09-22 09:33:52
 1  0      0 1354748  98544 1593356    0    0     0     0 43912 34063 51 17 33  0  0 2026-09-22 09:33:53
 0  0      0 1344204  98544 1593376    0    0     0     0 43667 36115 42 17 41  0  0 2026-09-22 09:33:54
 2  0      0 1337156  98544 1593384    0    0     0    36 38354 38703 33 14 53  0  1 2026-09-22 09:33:55
 2  0      0 1336012  98544 1593496    0    0     0     0 43574 36681 44 17 39  0  0 2026-09-22 09:33:56
 3  0      0 1327948  98544 1593548    0    0     0     0 40820 36273 38 15 46  0  0 2026-09-22 09:33:57
 2  0      0 1315632  98544 1593560    0    0     0    12 42648 33620 47 14 39  0  0 2026-09-22 09:33:58
 1  0      0 1305616  98544 1593576    0    0     0     0 43943 35713 45 18 38  0  0 2026-09-22 09:33:59
 1  0      0 1305360  98544 1593688    0    0     0    40 36152 35184 29 14 57  0  0 2026-09-22 09:34:00
 2  0      0 1293524  98544 1593732    0    0     0  3676 44498 36612 47 16 37  1  0 2026-09-22 09:34:01
 3  0      0 1282716  98544 1593748    0    0     0     0 45328 39281 46 18 37  0  0 2026-09-22 09:34:02
 2  0      0 1277856  98544 1593756    0    0     0   160 45534 35001 49 17 34  0  0 2026-09-22 09:34:03
 2  0      0 1270728  98544 1593904    0    0     0     8 43525 39154 47 17 36  0  0 2026-09-22 09:34:04
 2  0      0 1259760  98544 1593916    0    0     0    20 39534 34932 36 18 46  0  0 2026-09-22 09:34:05
 6  0      0 1229332  98544 1593928    0    0     0    40 35287 27308 52 20 29  0  0 2026-09-22 09:34:06
 0  0      0 1257032  98544 1594012    0    0     0     4 43053 33452 51 16 34  0  0 2026-09-22 09:34:07
 1  0      0 1239968  98544 1594152    0    0     0     0 43467 40535 40 16 45  0  0 2026-09-22 09:34:08
 3  0      0 1239468  98544 1594304    0    0     0     0 45457 37536 48 17 35  0  0 2026-09-22 09:34:09
 2  0      0 1228156  98544 1594316    0    0     0    12 36724 35215 30 11 59  0  0 2026-09-22 09:34:10
 3  0      0 1227652  98544 1594452    0    0     0    72 45289 39055 43 17 40  1  0 2026-09-22 09:34:11
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 1214560  98544 1594692    0    0     0     0 44207 35890 49 16 35  0  0 2026-09-22 09:34:12
 2  0      0 1214308  98544 1594932    0    0     0  2284 45332 43659 41 16 42  0  0 2026-09-22 09:34:13
 3  0      0 1202712  98544 1595104    0    0     0     0 44612 36724 48 16 36  0  0 2026-09-22 09:34:14
 0  0      0 1202248  98544 1595280    0    0     0     0 39518 37037 36 12 52  0  1 2026-09-22 09:34:15
 2  0      0 1187692  98544 1595644    0    0     0    36 44725 39392 42 20 37  1  0 2026-09-22 09:34:16
 3  0      0 1176100  98544 1595884    0    0     0     0 39149 30814 43 15 42  0  0 2026-09-22 09:34:17
 0  0      0 1172824  98544 1595952    0    0     0     0 17909 18790 14  6 80  0  0 2026-09-22 09:34:18
 0  0      0 1172824  98544 1595952    0    0     0     0  242  407  0  0 100  0  0 2026-09-22 09:34:19
 2  0      0 1172824  98544 1595956    0    0     0     0  236  410  0  0 100  0  0 2026-09-22 09:34:20
 0  0      0 1172824  98544 1595956    0    0     0     0  224  382  1  0 100  0  0 2026-09-22 09:34:21
 0  0      0 1172824  98544 1595956    0    0     0    56  249  410  0  0 100  0  0 2026-09-22 09:34:22
 0  0      0 1172824  98544 1595956    0    0     0     0  216  392  0  0 100  0  0 2026-09-22 09:34:23
 0  0      0 1172824  98544 1595960    0    0     0     0  219  387  0  1 100  0  0 2026-09-22 09:34:24
 0  0      0 1172824  98544 1595960    0    0     0     0  212  376  0  0 100  0  0 2026-09-22 09:34:25
 0  0      0 1172824  98544 1595960    0    0     0     0  234  413  0  0 100  0  0 2026-09-22 09:34:26
 0  0      0 1172824  98544 1595960    0    0     0    20  231  383  0  0 100  0  0 2026-09-22 09:34:27
 0  0      0 1172824  98544 1595960    0    0     0    12  241  412  0  0 100  0  0 2026-09-22 09:34:28
 0  0      0 1172824  98544 1595960    0    0     0     0  229  395  0  0 100  0  0 2026-09-22 09:34:29
 0  0      0 1172824  98544 1595960    0    0     0     0  233  388  1  0 100  0  0 2026-09-22 09:34:30
 0  0      0 1172824  98544 1595960    0    0     0     0  214  382  0  0 100  0  0 2026-09-22 09:34:31
 0  0      0 1172824  98544 1595960    0    0     0    28  239  415  0  0 100  0  0 2026-09-22 09:34:32
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 1172824  98544 1595960    0    0     0   428  297  464  0  1 99  1  0 2026-09-22 09:34:33
 0  0      0 1172824  98544 1595960    0    0     0   212  237  401  0  0 100  0  0 2026-09-22 09:34:34
 0  0      0 1172824  98544 1595960    0    0     0     0  210  369  0  0 100  0  0 2026-09-22 09:34:35
 0  0      0 1172824  98544 1595960    0    0     0     0  227  383  0  0 100  0  0 2026-09-22 09:34:36
 0  0      0 1171816  98548 1596112    0    0    92    60 1188 2028  3  3 94  0  0 2026-09-22 09:34:37
