COMMAND                   AVG_CPU%
mysqld                        57.2
nginx                         22.3
pidstat                        0.6
landscape-sysin                0.5
rcu_sched                      0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
kworker/u4:2-ext4-rsv-conversion       0.0
kworker/u4:0-writeback         0.0
kworker/u4:0-flush-259:0       0.0
kworker/1:3-events             0.0
