COMMAND                   AVG_CPU%
mysqld                        50.8
landscape-sysin                0.7
pidstat                        0.6
jbd2/nvme0n1p1-8               0.1
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
rcu_sched                      0.0
multipathd                     0.0
kworker/u4:2-writeback         0.0
kworker/u4:2-ext4-rsv-conversion       0.0
kworker/u4:2-events_unbound       0.0
kworker/u4:1-writeback         0.0
ksoftirqd/1                    0.0
