procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2237456  20912 957124    0    0   171  1138 9560 6722 19  8 72  0  0 2026-09-22 10:30:11
 0  0      0 2236952  20912 957080    0    0     0     0  158  235  0  0 99  0  0 2026-09-22 10:30:12
 0  0      0 2220824  20912 957080    0    0     0     0 4381 3043  2  3 95  0  0 2026-09-22 10:30:13
 0  0      0 2220376  20912 957080    0    0     0     8 2285 1947  4  1 95  0  0 2026-09-22 10:30:14
 0  0      0 2474468  20924 677124    0    0     0    92 4582 6636  6  7 88  0  0 2026-09-22 10:30:15
 0  0      0 2474528  20924 677076    0    0     0     0   47   50  0  0 100  0  0 2026-09-22 10:30:16
 0  0      0 2473520  20924 677076    0    0     0     0 1003 1639  1  0 98  0  0 2026-09-22 10:30:17
 0  0      0 2473520  20924 677140    0    0     0     0   48   39  0  0 100  0  0 2026-09-22 10:30:18
 2  0      0 2473268  20924 677140    0    0     0     0  380  612  0  1 100  0  0 2026-09-22 10:30:19
 1  0      0 2399044  20940 684500    0    0     0  1780 42492 33700 47 20 33  0  0 2026-09-22 10:30:20
 4  0      0 2398204  20940 692680    0    0     0   972 43886 27339 59 19 22  0  0 2026-09-22 10:30:21
 4  0      0 2469588  20940 701040    0    0     0   820 43491 25470 59 21 20  0  0 2026-09-22 10:30:22
 3  0      0 2665884  20940 709588    0    0     0   408 43895 24871 59 23 18  0  0 2026-09-22 10:30:23
 4  0      0 2711272  20940 717940    0    0     0   872 43936 26528 54 24 21  0  1 2026-09-22 10:30:24
 4  0      0 2694648  20948 726276    0    0     0   684 44126 26449 58 24 18  0  0 2026-09-22 10:30:25
 4  0      0 2691964  20948 735076    0    0     0   140 44615 25180 62 22 16  0  0 2026-09-22 10:30:26
 4  0      0 2668188  20948 744060    0    0     0   972 43275 24849 57 24 19  0  0 2026-09-22 10:30:27
 5  0      0 2623652  20948 752884    0    0     0  1832 42895 21159 59 24 16  0  0 2026-09-22 10:30:28
 3  0      0 2595568  20948 761988    0    0     0   820 43412 23738 60 20 19  0  0 2026-09-22 10:30:29
 4  0      0 2567596  20956 771008    0    0     0  4316 43488 23790 60 21 18  0  0 2026-09-22 10:30:30
 5  0      0 2545596  20956 779912    0    0     0   932 44115 25957 59 22 18  0  0 2026-09-22 10:30:31
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 2522168  20956 788960    0    0     0  1024 42702 23411 62 19 19  0  0 2026-09-22 10:30:32
 3  0      0 2490400  20956 797452    0    0     0   752 44351 25745 56 26 18  0  0 2026-09-22 10:30:33
 3  0      0 2460228  20956 806332    0    0     0  1040 42649 26640 59 21 20  0  0 2026-09-22 10:30:34
 3  0      0 2448628  20964 815124    0    0     0  1552 43721 25772 57 24 19  0  0 2026-09-22 10:30:35
 7  0      0 2417324  20964 823388    0    0     0  3604 42096 24109 59 23 18  0  0 2026-09-22 10:30:36
 4  0      0 2380128  20964 831660    0    0     0  1380 41848 26451 54 27 19  0  0 2026-09-22 10:30:37
 4  0      0 2367048  20964 840272    0    0     0   820 43233 27276 56 21 23  0  0 2026-09-22 10:30:38
 3  0      0 2331132  20964 848612    0    0     0  1192 41394 24217 59 24 18  0  0 2026-09-22 10:30:39
 4  0      0 2322452  20972 857356    0    0     0  5740 42467 26677 60 21 19  0  0 2026-09-22 10:30:40
 7  1      0 2284744  20972 865736    0    0     0 58440 42505 26606 58 23 18  1  0 2026-09-22 10:30:41
 2  0      0 2276432  20972 874116    0    0     0  1376 44651 31110 55 25 19  0  1 2026-09-22 10:30:42
 2  0      0 2233924  20972 882396    0    0     0  1296 41052 28411 57 20 23  0  0 2026-09-22 10:30:43
