    t     req newconn  fullhs      h2
    0   11113     474     474       0
    5   10914     501     501       0
   10   10540     499     499       0
   15   10859     526     526       0
   20    8716     552     552       0
   25    7304     609     609       0
   30    9312     720     720       0
   35   10216     759     759       0
   40    8895     770     770       0
   45    9092     739     739       0
   50    8482     736     736       0
   55    8635     713     713       0
   60     323      26      26       0
