    t     req newconn  fullhs      h2
    0       2       2       2       0
    5     142      22      22       0
   10   46668    1541    1541       0
   15   52416    1717    1717       0
   20   50268    1846    1846       0
   25   49716    2006    2006       0
   30   49639    2001    2001       0
   35   48539    2037    2037       0
   40   54123    1609    1609       0
   45   57269    1026    1026       0
   50   57796    1017    1017       0
   55   56741     991     991       0
   60   55979     965     965       0
   65   55614     910     910       0
   70    2458      43      43       0
