    t     req newconn  fullhs      h2
    0    1122      58      58       0
    5    9211     467     467       0
   10   10602     465     465       0
   15    8981     491     491       0
   20   10076     528     528       0
   25    8407     546     546       0
   30    8392     603     603       0
   35    8650     720     720       0
   40    9905     724     724       0
   45    9041     809     809       0
   50    8670     707     707       0
   55    8380     700     700       0
   60    7718     593     593       0
