    t     req newconn  fullhs      h2
    0      44      16      16       0
    5   15169     569     569       0
   10   54338    1725    1725       0
   15   51132    1808    1808       0
   20   51880    1876    1876       0
   25   49882    2052    2052       0
   30   48660    1990    1990       0
   35   49845    2090    2090       0
   40   57299    1233    1233       0
   45   55760    1073    1073       0
   50   57647    1009    1009       0
   55   57434    1020    1020       0
   60   54709     964     964       0
   65   37899     662     662       0
