procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2345780  44780 1230012    0    0   104   231  104  156  1  1 98  1  0 2026-09-22 08:55:57
 0  0      0 2345780  44780 1229988    0    0     0     0  125  175  1  0 100  0  0 2026-09-22 08:55:58
 0  0      0 2345780  44780 1229988    0    0     0     0   29   42  0  0 100  0  0 2026-09-22 08:55:59
 0  0      0 2345780  44780 1229988    0    0     0     0   25   34  0  0 100  0  0 2026-09-22 08:56:00
 0  0      0 2345780  44792 1229988    0    0     0    68   94  105  0  0 100  0  0 2026-09-22 08:56:01
 0  0      0 2345780  44792 1229988    0    0     0    12   42   46  0  0 100  0  0 2026-09-22 08:56:02
 0  0      0 2345780  44792 1229988    0    0     0     8   39   44  0  0 100  0  0 2026-09-22 08:56:03
 0  0      0 2345780  44792 1229988    0    0     0     0   28   36  0  0 100  0  0 2026-09-22 08:56:04
 1  0      0 2345780  44792 1229988    0    0     0     0   30   42  0  0 100  0  0 2026-09-22 08:56:05
 1  0      0 2345780  44792 1229988    0    0     0     0   21   26  0  0 100  0  0 2026-09-22 08:56:06
 1  0      0 2345780  44796 1229988    0    0     0    40   36   40  0  0 100  0  0 2026-09-22 08:56:07
 1  0      0 2345780  44796 1229988    0    0     0     0   29   35  0  0 100  0  0 2026-09-22 08:56:08
 1  0      0 2345780  44796 1229988    0    0     0   136   44   41  0  0 100  0  0 2026-09-22 08:56:09
 1  0      0 2345780  44796 1229988    0    0     0     0   27   27  0  0 100  0  0 2026-09-22 08:56:10
 1  0      0 2345780  44796 1229988    0    0     0     0   21   26  0  0 100  0  0 2026-09-22 08:56:11
 1  1      0 2345780  44800 1229988    0    0     0   356   55   87  0  0 100  1  0 2026-09-22 08:56:12
 0  0      0 2345780  44800 1229988    0    0     0   580   89  157  0  0 99  1  0 2026-09-22 08:56:13
 0  0      0 2345780  44800 1229988    0    0     0     0   27   30  0  0 100  0  0 2026-09-22 08:56:14
 0  0      0 2345780  44800 1229988    0    0     0     8   36   37  0  0 100  0  0 2026-09-22 08:56:15
 0  1      0 2345780  44804 1229984    0    0     0    20   34   37  0  1 100  0  0 2026-09-22 08:56:16
 0  0      0 2345780  44808 1229988    0    0     0     4   35   38  0  0 100  0  0 2026-09-22 08:56:17
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2345780  44808 1229988    0    0     0     0   26   34  0  0 100  0  0 2026-09-22 08:56:18
 0  0      0 2345780  44808 1229988    0    0     0     0   28   36  0  0 100  0  0 2026-09-22 08:56:19
 0  0      0 2345780  44808 1229988    0    0     0     0   36   44  0  0 100  0  0 2026-09-22 08:56:20
 0  0      0 2345780  44808 1229988    0    0     0     8   35   36  0  0 100  0  0 2026-09-22 08:56:21
 0  0      0 2345780  44816 1229988    0    0     0    16   32   34  0  0 100  0  0 2026-09-22 08:56:22
 0  0      0 2345780  44816 1229988    0    0     0  1676  207  336  0  0 99  2  0 2026-09-22 08:56:23
 0  0      0 2345780  44816 1229988    0    0     0     0   28   33  0  0 100  0  0 2026-09-22 08:56:24
 0  0      0 2345780  44816 1229988    0    0     0     0   43   44  0  0 100  0  0 2026-09-22 08:56:25
 0  0      0 2345780  44816 1229988    0    0     0     0   22   25  0  0 100  0  0 2026-09-22 08:56:26
 0  0      0 2345780  44824 1229980    0    0     0    32   41   50  0  0 100  0  0 2026-09-22 08:56:27
 0  0      0 2345780  44824 1229988    0    0     0     0   30   26  0  0 100  0  1 2026-09-22 08:56:28
