procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2474656  43428 1097132    0    0   126   247  101  152  1  1 97  1  0 2026-09-22 08:47:41
 0  0      0 2473648  43428 1097108    0    0     0     0  134  165  1  0 99  0  0 2026-09-22 08:47:42
 0  0      0 2473648  43428 1097108    0    0     0     0   26   35  0  0 100  0  0 2026-09-22 08:47:43
 0  0      0 2473648  43428 1097108    0    0     0     8   45   51  0  0 100  0  0 2026-09-22 08:47:44
 0  0      0 2473648  43428 1097108    0    0     0     0   41   46  0  0 100  0  0 2026-09-22 08:47:45
 0  0      0 2473648  43428 1097108    0    0     0     0   39   51  0  0 100  0  0 2026-09-22 08:47:46
 0  0      0 2473648  43440 1097108    0    0     0    52   35   36  0  0 100  0  0 2026-09-22 08:47:47
 0  0      0 2473648  43440 1097108    0    0     0     0   23   30  0  0 100  0  0 2026-09-22 08:47:48
 0  0      0 2473648  43440 1097108    0    0     0     0   29   37  0  0 100  0  0 2026-09-22 08:47:49
 0  0      0 2473648  43440 1097108    0    0     0     8   31   29  0  0 100  0  0 2026-09-22 08:47:50
 0  0      0 2473648  43440 1097108    0    0     0     0   29   33  0  0 100  0  0 2026-09-22 08:47:51
 0  0      0 2473648  43448 1097108    0    0     0    16   37   40  0  0 100  1  0 2026-09-22 08:47:52
 0  0      0 2473648  43448 1097108    0    0     0     0   26   30  0  0 100  0  0 2026-09-22 08:47:53
 0  0      0 2473648  43448 1097108    0    0     0     0   70  100  0  0 100  0  0 2026-09-22 08:47:54
 1  0      0 2473648  43448 1097108    0    0     0     0   25   27  0  1 100  0  0 2026-09-22 08:47:55
 1  0      0 2473648  43448 1097108    0    0     0     8   60   42  0  0 100  0  0 2026-09-22 08:47:56
 1  0      0 2473648  43456 1097108    0    0     0    16   48   45  0  0 100  0  0 2026-09-22 08:47:57
 1  0      0 2473648  43456 1097108    0    0     0     0   27   36  0  0 100  0  0 2026-09-22 08:47:58
