procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2349744  44048 1228892    0    0   129   276  117  177  1  1 97  1  0 2026-09-22 08:47:41
 0  0      0 2348988  44048 1228844    0    0     0    84  137  176  1  0 100  0  0 2026-09-22 08:47:42
 0  0      0 2348988  44048 1228844    0    0     0     0   37   42  0  0 100  0  0 2026-09-22 08:47:43
 0  0      0 2348988  44060 1228844    0    0     0    68   44   54  0  0 100  1  0 2026-09-22 08:47:44
 0  0      0 2348988  44060 1228844    0    0     0     0   30   38  0  0 100  0  0 2026-09-22 08:47:45
 0  0      0 2348988  44060 1228844    0    0     0     0   31   41  0  0 100  0  0 2026-09-22 08:47:46
 0  0      0 2348988  44060 1228844    0    0     0     8   54   45  0  0 100  0  0 2026-09-22 08:47:47
 0  0      0 2348988  44060 1228844    0    0     0     0   23   29  0  0 100  0  0 2026-09-22 08:47:48
 1  0      0 2348988  44068 1228836    0    0     0    16   43   50  0  0 100  0  0 2026-09-22 08:47:49
 1  0      0 2348988  44068 1228844    0    0     0     8   34   34  0  0 100  0  0 2026-09-22 08:47:50
 1  0      0 2348988  44068 1228844    0    0     0     0   23   28  0  0 100  0  0 2026-09-22 08:47:51
 1  0      0 2348988  44068 1228844    0    0     0     0   25   29  0  0 100  0  0 2026-09-22 08:47:52
 1  0      0 2348988  44068 1228844    0    0     0     0   28   32  0  0 100  0  0 2026-09-22 08:47:53
 1  0      0 2348988  44068 1228844    0    0     0     0   24   30  0  0 100  0  0 2026-09-22 08:47:54
 1  0      0 2348988  44076 1228844    0    0     0    16   36   38  0  0 100  0  0 2026-09-22 08:47:55
 1  0      0 2348988  44076 1228844    0    0     0     8   34   33  0  0 100  0  0 2026-09-22 08:47:56
 1  0      0 2348988  44076 1228844    0    0     0     0   25   36  0  0 100  0  0 2026-09-22 08:47:57
 1  0      0 2348988  44076 1228844    0    0     0     0   23   26  0  0 100  0  0 2026-09-22 08:47:58
 1  0      0 2348988  44076 1228844    0    0     0     0   24   35  0  0 100  0  0 2026-09-22 08:47:59
 0  0      0 2348988  44084 1228844    0    0     0    16   42   48  0  0 100  0  0 2026-09-22 08:48:00
 0  0      0 2348232  44084 1228848    0    0     0     0   70   99  0  0 100  0  0 2026-09-22 08:48:01
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2348232  44084 1228848    0    0     0     8   36   39  0  0 100  0  0 2026-09-22 08:48:02
 0  0      0 2348232  44084 1228848    0    0     0     0   33   40  0  0 100  0  0 2026-09-22 08:48:03
 0  1      0 2348232  44092 1228840    0    0     0    40   27   34  0  0 100  0  0 2026-09-22 08:48:04
 0  0      0 2348232  44092 1228848    0    0     0     0   35   41  0  0 100  0  0 2026-09-22 08:48:05
 0  0      0 2348232  44092 1228848    0    0     0  2200  220  324  0  0 99  2  0 2026-09-22 08:48:06
 0  0      0 2348232  44092 1228848    0    0     0     0   45   53  0  0 100  0  0 2026-09-22 08:48:07
 0  0      0 2348232  44092 1228848    0    0     0     8   38   38  0  0 100  0  0 2026-09-22 08:48:08
 0  0      0 2348232  44092 1228848    0    0     0     0   30   35  0  0 100  0  0 2026-09-22 08:48:09
 0  0      0 2348232  44100 1228848    0    0     0    56   40   42  0  0 100  0  0 2026-09-22 08:48:10
 0  0      0 2348232  44100 1228848    0    0     0     0   29   34  0  0 100  0  0 2026-09-22 08:48:11
 0  0      0 2348232  44100 1228848    0    0     0     0   22   25  0  0 100  0  0 2026-09-22 08:48:12
 0  0      0 2348232  44100 1228848    0    0     0     0   32   45  0  0 100  0  0 2026-09-22 08:48:13
 0  0      0 2348232  44100 1228848    0    0     0     8   36   32  0  0 100  0  0 2026-09-22 08:48:14
 0  0      0 2348232  44104 1228844    0    0     0    84   40   42  0  0 100  0  0 2026-09-22 08:48:15
 0  0      0 2348232  44104 1228848    0    0     0     0   49   49  0  0 100  0  0 2026-09-22 08:48:16
 0  0      0 2348232  44104 1228852    0    0     0     0   31   34  0  0 100  0  0 2026-09-22 08:48:17
 0  0      0 2348232  44104 1228852    0    0     0     0   30   39  0  0 100  0  0 2026-09-22 08:48:18
 0  0      0 2348232  44104 1228852    0    0     0     0   23   28  0  0 100  0  0 2026-09-22 08:48:19
 0  0      0 2348232  44104 1228852    0    0     0    12   35   36  0  0 100  0  0 2026-09-22 08:48:20
 0  0      0 2348232  44108 1228852    0    0     0    24   37   39  0  0 99  0  0 2026-09-22 08:48:21
 0  0      0 2348232  44116 1228848    0    0     0    32   49   59  0  0 100  0  0 2026-09-22 08:48:22
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2348232  44116 1228856    0    0     0     0   31   32  0  0 100  0  0 2026-09-22 08:48:23
 0  0      0 2348232  44116 1228856    0    0     0     0   26   33  0  0 100  0  0 2026-09-22 08:48:24
 0  0      0 2348232  44116 1228856    0    0     0     0   24   32  0  0 100  0  0 2026-09-22 08:48:25
 0  0      0 2348232  44116 1228856    0    0     0    12   34   43  0  0 100  0  0 2026-09-22 08:48:26
 0  0      0 2348232  44124 1228848    0    0     0    24   26   35  0  0 100  0  0 2026-09-22 08:48:27
 0  0      0 2348232  44124 1228856    0    0     0     0   31   32  0  0 100  0  0 2026-09-22 08:48:28
