COMMAND                   AVG_CPU%
mysqld                        81.0
isupipe                       43.5
nginx                         19.7
pdns_server                    6.5
systemd-journal                1.0
pdnsutil                       0.7
pidstat                        0.5
rsyslogd                       0.4
rcu_sched                      0.1
kworker/u4:2-writeback         0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
jbd2/nvme0n1p1-8               0.1
mysql                          0.0
multipathd                     0.0
