procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2472508  44528 1098848    0    0    93   194   88  130  1  1 98  1  0 2026-09-22 09:00:06
 0  0      0 2471248  44528 1098848    0    0     0     0  120  180  1  0 99  0  0 2026-09-22 09:00:07
 0  0      0 2471248  44528 1098848    0    0     0     0   28   45  0  0 100  0  0 2026-09-22 09:00:08
 0  0      0 2471248  44528 1098848    0    0     0     8   47   59  0  0 100  0  0 2026-09-22 09:00:09
 0  0      0 2471248  44528 1098848    0    0     0     0   27   39  0  0 100  0  0 2026-09-22 09:00:10
 0  0      0 2471248  44528 1098848    0    0     0     0   29   39  0  0 100  0  0 2026-09-22 09:00:11
 0  0      0 2471248  44536 1098848    0    0     0    48   31   38  0  0 100  0  0 2026-09-22 09:00:12
 0  0      0 2471248  44536 1098848    0    0     0     0   22   33  0  0 100  0  0 2026-09-22 09:00:13
 0  0      0 2471248  44536 1098848    0    0     0     0   26   34  0  0 100  0  0 2026-09-22 09:00:14
 0  0      0 2471248  44536 1098848    0    0     0     8   26   30  0  0 100  0  0 2026-09-22 09:00:15
 0  0      0 2471248  44536 1098848    0    0     0     0   33   42  0  0 100  0  0 2026-09-22 09:00:16
 0  0      0 2471248  44544 1098840    0    0     0    16   33   36  0  0 100  1  0 2026-09-22 09:00:17
 0  0      0 2471248  44544 1098848    0    0     0     0   20   30  0  0 100  0  0 2026-09-22 09:00:18
 0  0      0 2471248  44544 1098848    0    0     0     0   22   33  0  0 100  0  0 2026-09-22 09:00:19
 0  0      0 2471248  44544 1098848    0    0     0     0   18   22  0  0 100  0  0 2026-09-22 09:00:20
 0  0      0 2471248  44544 1098848    0    0     0     8   33   42  0  0 100  0  0 2026-09-22 09:00:21
 0  0      0 2471248  44552 1098848    0    0     0    16   30   34  0  0 100  0  0 2026-09-22 09:00:22
 0  0      0 2471248  44552 1098848    0    0     0     0   16   23  0  0 100  0  0 2026-09-22 09:00:23
 0  0      0 2471248  44552 1098848    0    0     0  3004  377  654  0  1 97  3  0 2026-09-22 09:00:24
 0  0      0 2471248  44552 1098848    0    0     0     0   28   39  0  0 100  0  0 2026-09-22 09:00:25
 0  0      0 2471248  44552 1098848    0    0     0     0   18   23  0  0 100  0  0 2026-09-22 09:00:26
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 2471248  44552 1098848    0    0     0     8   34   35  0  0 100  0  0 2026-09-22 09:00:27
 1  0      0 2471248  44560 1098848    0    0     0    52   31   33  0  0 100  0  0 2026-09-22 09:00:28
 1  0      0 2471248  44560 1098848    0    0     0     0   22   29  0  0 100  0  0 2026-09-22 09:00:29
 1  0      0 2471248  44560 1098848    0    0     0     0   26   27  0  0 100  0  0 2026-09-22 09:00:30
 1  0      0 2471248  44560 1098848    0    0     0     0   22   26  0  0 100  0  0 2026-09-22 09:00:31
 1  0      0 2471248  44560 1098848    0    0     0     0   22   24  0  0 100  0  0 2026-09-22 09:00:32
 1  0      0 2471248  44568 1098848    0    0     0    24   41   45  0  0 100  0  0 2026-09-22 09:00:33
 1  0      0 2471248  44568 1098848    0    0     0     0   27   30  0  0 100  0  0 2026-09-22 09:00:34
 1  0      0 2471248  44568 1098848    0    0     0     0   22   29  0  0 100  0  0 2026-09-22 09:00:35
 1  0      0 2471248  44568 1098848    0    0     0     0   36   30  0  0 100  0  1 2026-09-22 09:00:36
 1  0      0 2471248  44568 1098848    0    0     0    60   50   50  0  0 100  0  0 2026-09-22 09:00:37
 1  0      0 2471248  44572 1098848    0    0     0    16   32   37  0  0 100  1  0 2026-09-22 09:00:38
 1  0      0 2471248  44572 1098848    0    0     0     8   33   33  0  0 100  0  0 2026-09-22 09:00:39
 0  0      0 2471248  44572 1098848    0    0     0     0   24   34  0  0 100  0  0 2026-09-22 09:00:40
 0  0      0 2471248  44572 1098848    0    0     0     0   37   43  0  0 100  0  0 2026-09-22 09:00:41
 0  2      0 2471248  44572 1098856    0    0     0    12   23   29  0  0 100  0  0 2026-09-22 09:00:42
 0  0      0 2471248  44576 1098856    0    0     0     4   44   43  0  0 100  0  0 2026-09-22 09:00:43
 0  0      0 2471248  44576 1098856    0    0     0    16   30   38  0  0 100  0  0 2026-09-22 09:00:44
