procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2474252  42864 1096556    0    0   156   297  113  174  1  1 97  1  0 2026-09-22 08:41:02
 0  0      0 2474000  42864 1096560    0    0     0     8  148  191  0  0 100  0  0 2026-09-22 08:41:03
 0  0      0 2474000  42864 1096560    0    0     0     0   38   43  0  0 100  0  0 2026-09-22 08:41:04
 0  0      0 2474000  42864 1096560    0    0     0     0   36   53  0  0 100  0  0 2026-09-22 08:41:05
 0  0      0 2474000  42864 1096560    0    0     0     0   28   36  0  0 100  0  0 2026-09-22 08:41:06
 0  0      0 2474000  42864 1096560    0    0     0     0   27   34  1  0 100  0  0 2026-09-22 08:41:07
 0  0      0 2474000  42872 1096560    0    0     0    52   46   51  0  0 100  0  0 2026-09-22 08:41:08
 1  0      0 2474000  42872 1096560    0    0     0     8   40   33  1  0 100  0  0 2026-09-22 08:41:09
 1  0      0 2474000  42872 1096560    0    0     0     0   33   38  0  0 100  0  0 2026-09-22 08:41:10
 1  0      0 2474000  42872 1096560    0    0     0     0   25   27  0  0 100  0  0 2026-09-22 08:41:11
 1  0      0 2474000  42872 1096560    0    0     0     0   39   31  0  0 100  0  0 2026-09-22 08:41:12
 1  0      0 2474000  42880 1096560    0    0     0    16   38   40  0  0 100  0  0 2026-09-22 08:41:13
 1  0      0 2474000  42880 1096560    0    0     0     0   42   46  0  0 100  0  0 2026-09-22 08:41:14
 1  0      0 2474000  42880 1096560    0    0     0     8   40   33  0  0 100  0  0 2026-09-22 08:41:15
 1  0      0 2474000  42880 1096560    0    0     0     0   27   27  0  0 100  0  0 2026-09-22 08:41:16
 1  0      0 2474000  42880 1096560    0    0     0     0   45   52  0  0 100  0  0 2026-09-22 08:41:17
 0  0      0 2474000  42888 1096560    0    0     0    16   42   50  0  0 99  0  0 2026-09-22 08:41:18
 0  0      0 2474000  42888 1096560    0    0     0   124   42   41  0  0 100  0  0 2026-09-22 08:41:19
 0  0      0 2474000  42888 1096560    0    0     0     0   41   33  0  1 100  0  0 2026-09-22 08:41:20
 0  0      0 2474000  42888 1096560    0    0     0     8   36   31  0  0 100  0  0 2026-09-22 08:41:21
 0  1      0 2474000  42896 1096552    0    0     0    16   31   40  0  0 100  0  0 2026-09-22 08:41:22
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2474000  42896 1096560    0    0     0     0   41   39  0  1 100  0  0 2026-09-22 08:41:23
 0  0      0 2474000  42896 1096560    0    0     0     0   28   24  0  0 100  0  0 2026-09-22 08:41:24
 0  0      0 2474000  42896 1096560    0    0     0     0   30   39  0  0 100  0  0 2026-09-22 08:41:25
 0  0      0 2474000  42896 1096560    0    0     0     0   29   30  1  0 100  0  0 2026-09-22 08:41:26
 0  0      0 2474000  42904 1096552    0    0     0    24   43   44  0  0 100  0  0 2026-09-22 08:41:27
 0  0      0 2474000  42904 1096560    0    0     0   660   97  123  0  0 100  1  0 2026-09-22 08:41:28
 0  0      0 2474000  42904 1096560    0    0     0     0   28   29  0  0 100  0  0 2026-09-22 08:41:29
 0  0      0 2474000  42904 1096560    0    0     0     0   29   37  0  0 100  0  0 2026-09-22 08:41:30
 0  0      0 2474000  42904 1096560    0    0     0     0   26   28  0  0 100  0  0 2026-09-22 08:41:31
 0  0      0 2474000  42912 1096552    0    0     0    52   31   36  0  1 100  0  0 2026-09-22 08:41:32
 0  0      0 2474000  42912 1096560    0    0     0     8   48   44  0  0 100  0  0 2026-09-22 08:41:33
 0  0      0 2474000  42912 1096560    0    0     0     0   31   32  0  0 100  0  0 2026-09-22 08:41:34
 0  0      0 2474000  42912 1096560    0    0     0     0   37   38  0  1 100  0  0 2026-09-22 08:41:35
 0  0      0 2474000  42912 1096560    0    0     0     0   25   28  0  0 100  0  0 2026-09-22 08:41:36
 0  0      0 2474000  42920 1096560    0    0     0    16   32   44  0  0 100  0  0 2026-09-22 08:41:37
 0  0      0 2474000  42920 1096564    0    0     0     0   33   32  1  0 100  0  0 2026-09-22 08:41:38
 0  0      0 2474000  42920 1096568    0    0     0    16   36   39  0  0 100  0  0 2026-09-22 08:41:39
 0  0      0 2474000  42920 1096568    0    0     0     0   29   33  0  0 100  0  0 2026-09-22 08:41:40
 0  0      0 2474000  42920 1096568    0    0     0     0   37   39  0  0 100  0  0 2026-09-22 08:41:41
 0  0      0 2474000  42928 1096568    0    0     0    24   32   44  0  0 100  0  0 2026-09-22 08:41:42
 0  0      0 2474000  42928 1096568    0    0     0     0   31   29  0  0 100  0  0 2026-09-22 08:41:43
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2474000  42928 1096568    0    0     0     0   32   23  0  0 100  0  0 2026-09-22 08:41:44
 0  0      0 2474000  42928 1096568    0    0     0     8   42   46  0  0 100  0  0 2026-09-22 08:41:45
 0  0      0 2474000  42928 1096568    0    0     0     0   25   30  0  0 100  0  0 2026-09-22 08:41:46
 0  0      0 2474000  42936 1096568    0    0     0    16   34   44  0  1 100  0  0 2026-09-22 08:41:47
 0  0      0 2474000  42936 1096568    0    0     0     0   31   26  0  0 100  0  0 2026-09-22 08:41:48
 0  0      0 2474000  42936 1096568    0    0     0     0   21   28  0  0 100  0  0 2026-09-22 08:41:49
 0  0      0 2474000  42936 1096568    0    0     0     0   45   42  0  0 100  0  0 2026-09-22 08:41:50
 0  0      0 2474000  42936 1096568    0    0     0     8   42   40  0  0 100  0  0 2026-09-22 08:41:51
 0  0      0 2474000  42944 1096560    0    0     0    16   33   44  0  0 100  1  0 2026-09-22 08:41:52
 0  0      0 2474000  42944 1096568    0    0     0     0   32   35  0  0 100  0  0 2026-09-22 08:41:53
 0  0      0 2474000  42944 1096568    0    0     0     0   26   27  0  0 99  0  0 2026-09-22 08:41:54
 0  0      0 2474000  42944 1096568    0    0     0     0   38   40  0  0 100  0  0 2026-09-22 08:41:55
 0  0      0 2474000  42944 1096568    0    0     0     0   25   24  0  0 100  0  0 2026-09-22 08:41:56
 0  0      0 2474000  42952 1096568    0    0     0    24   53   68  0  0 100  0  0 2026-09-22 08:41:57
 0  0      0 2474000  42952 1096568    0    0     0    40   42   41  0  0 100  0  0 2026-09-22 08:41:58
 0  0      0 2474000  42952 1096568    0    0     0     0   31   36  0  0 100  0  0 2026-09-22 08:41:59
 0  0      0 2474000  42952 1096568    0    0     0     0   41   43  0  0 100  0  0 2026-09-22 08:42:00
 0  0      0 2474000  42952 1096568    0    0     0     0   27   31  0  0 100  0  0 2026-09-22 08:42:01
 0  0      0 2474000  42960 1096568    0    0     0    40   88  100  0  1 99  0  0 2026-09-22 08:42:02
 0  0      0 2474000  42960 1096568    0    0     0     8   38   39  0  0 100  0  0 2026-09-22 08:42:03
 0  0      0 2474000  42960 1096568    0    0     0     0   25   28  0  0 100  0  0 2026-09-22 08:42:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2474000  42960 1096568    0    0     0     0   40   52  0  1 100  0  0 2026-09-22 08:42:05
