procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 2353152  43480 1228336    0    0   159   333  133  204  1  1 97  1  0 2026-09-22 08:41:02
 0  0      0 2352900  43480 1228308    0    0     0     8  138  185  0  1 100  0  0 2026-09-22 08:41:03
 0  0      0 2352900  43480 1228308    0    0     0    88   45   48  0  0 100  0  0 2026-09-22 08:41:04
 0  0      0 2352900  43480 1228308    0    0     0     0   33   44  0  0 100  0  0 2026-09-22 08:41:05
 0  0      0 2352900  43480 1228308    0    0     0     0   26   35  0  0 100  0  0 2026-09-22 08:41:06
 0  0      0 2352900  43480 1228308    0    0     0     0   26   30  0  0 100  0  0 2026-09-22 08:41:07
 0  0      0 2352900  43488 1228308    0    0     0    48   49   54  0  0 100  0  0 2026-09-22 08:41:08
 1  0      0 2352900  43488 1228308    0    0     0     8   36   31  0  0 100  0  0 2026-09-22 08:41:09
 1  0      0 2352900  43488 1228308    0    0     0     0   27   39  0  0 100  0  0 2026-09-22 08:41:10
 1  0      0 2352900  43488 1228308    0    0     0     0   22   26  0  0 100  0  0 2026-09-22 08:41:11
 1  0      0 2352900  43488 1228308    0    0     0     0   21   27  0  0 100  0  0 2026-09-22 08:41:12
 1  0      0 2352900  43496 1228308    0    0     0    16   37   39  0  0 100  0  0 2026-09-22 08:41:13
 1  0      0 2352900  43496 1228308    0    0     0     0   30   36  0  0 100  0  0 2026-09-22 08:41:14
 1  0      0 2352900  43496 1228308    0    0     0     8   31   32  0  0 100  0  0 2026-09-22 08:41:15
 1  0      0 2352900  43496 1228308    0    0     0     0   34   38  0  0 100  0  0 2026-09-22 08:41:16
 1  0      0 2352900  43496 1228308    0    0     0     0   27   33  0  0 100  0  0 2026-09-22 08:41:17
 0  0      0 2352900  43504 1228308    0    0     0    16   40   52  0  0 100  0  0 2026-09-22 08:41:18
 0  0      0 2352900  43504 1228308    0    0     0     0   27   32  0  0 100  0  0 2026-09-22 08:41:19
 0  0      0 2352900  43504 1228308    0    0     0     0   23   29  0  0 100  0  0 2026-09-22 08:41:20
 0  0      0 2352900  43504 1228308    0    0     0     8   39   36  0  0 100  0  0 2026-09-22 08:41:21
 0  1      0 2352900  43508 1228304    0    0     0    12   57   46  0  0 100  0  0 2026-09-22 08:41:22
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2352900  43512 1228308    0    0     0     4   39   44  0  0 100  0  0 2026-09-22 08:41:23
 0  0      0 2352900  43512 1228308    0    0     0     0   40   38  0  0 100  0  0 2026-09-22 08:41:24
 0  0      0 2352900  43512 1228308    0    0     0     0   33   28  0  0 100  0  0 2026-09-22 08:41:25
 0  0      0 2352900  43512 1228308    0    0     0     0   48   45  0  0 100  0  0 2026-09-22 08:41:26
 0  0      0 2352900  43520 1228300    0    0     0    24   38   46  0  0 100  0  0 2026-09-22 08:41:27
 0  0      0 2352900  43520 1228308    0    0     0    28   40   44  0  0 100  0  0 2026-09-22 08:41:28
 0  0      0 2352900  43520 1228308    0    0     0     0   36   32  0  0 100  0  0 2026-09-22 08:41:29
 0  0      0 2352900  43520 1228308    0    0     0     0   26   34  0  0 100  0  0 2026-09-22 08:41:30
 0  0      0 2352900  43520 1228308    0    0     0     0   30   33  0  0 100  0  0 2026-09-22 08:41:31
 0  0      0 2352900  43528 1228300    0    0     0    40   32   40  0  0 100  0  0 2026-09-22 08:41:32
 0  0      0 2352900  43528 1228308    0    0     0   636   95  113  0  0 100  1  0 2026-09-22 08:41:33
 0  0      0 2352900  43528 1228308    0    0     0     0   33   40  0  0 100  0  0 2026-09-22 08:41:34
 0  0      0 2352900  43528 1228308    0    0     0     0   24   30  0  0 100  0  0 2026-09-22 08:41:35
 0  0      0 2352900  43528 1228308    0    0     0     0   32   35  0  0 100  0  0 2026-09-22 08:41:36
 0  0      0 2352900  43536 1228300    0    0     0    28   37   42  0  0 100  0  0 2026-09-22 08:41:37
 0  0      0 2352900  43536 1228312    0    0     0    48   43   36  0  0 100  0  0 2026-09-22 08:41:38
 0  0      0 2352900  43536 1228312    0    0     0    12   34   40  0  0 100  0  0 2026-09-22 08:41:39
 0  0      0 2352900  43536 1228312    0    0     0     0   28   28  0  0 100  0  0 2026-09-22 08:41:40
 0  0      0 2352900  43536 1228316    0    0     0     0   34   38  0  0 100  0  0 2026-09-22 08:41:41
 0  0      0 2352900  43544 1228308    0    0     0    24   43   48  0  0 99  0  0 2026-09-22 08:41:42
 0  0      0 2352900  43544 1228316    0    0     0     0   31   31  0  0 100  0  0 2026-09-22 08:41:43
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2352900  43544 1228316    0    0     0     0   30   38  0  0 100  0  0 2026-09-22 08:41:44
 0  0      0 2352900  43544 1228316    0    0     0    12   45   40  0  0 100  0  0 2026-09-22 08:41:45
 0  0      0 2352900  43544 1228316    0    0     0     0   43   33  0  0 100  0  0 2026-09-22 08:41:46
 0  0      0 2352900  43552 1228308    0    0     0    24   31   45  0  0 100  0  0 2026-09-22 08:41:47
 0  0      0 2352900  43552 1228316    0    0     0     0   27   24  0  0 100  0  0 2026-09-22 08:41:48
 0  0      0 2352900  43552 1228316    0    0     0     0   41   40  0  0 100  0  0 2026-09-22 08:41:49
 0  0      0 2352900  43552 1228316    0    0     0     0   25   32  0  0 100  0  1 2026-09-22 08:41:50
 0  0      0 2352900  43552 1228316    0    0     0     8   42   53  0  0 100  0  0 2026-09-22 08:41:51
 0  0      0 2352900  43552 1228316    0    0     0     0   25   29  0  0 100  0  0 2026-09-22 08:41:52
 0  0      0 2352900  43560 1228316    0    0     0    16   38   42  0  0 100  0  0 2026-09-22 08:41:53
 0  0      0 2352900  43560 1228316    0    0     0     0   35   41  0  0 100  0  0 2026-09-22 08:41:54
 0  0      0 2352900  43560 1228316    0    0     0     0   29   30  0  0 100  0  0 2026-09-22 08:41:55
 0  0      0 2352900  43560 1228316    0    0     0     0   41   38  0  0 100  0  0 2026-09-22 08:41:56
 0  0      0 2352900  43560 1228316    0    0     0     8   41   39  0  0 100  0  0 2026-09-22 08:41:57
 0  0      0 2352900  43568 1228308    0    0     0    16   41   49  0  0 100  0  0 2026-09-22 08:41:58
 0  0      0 2352900  43568 1228316    0    0     0     0   33   33  0  0 100  0  0 2026-09-22 08:41:59
 0  0      0 2352900  43568 1228316    0    0     0     0   49   42  0  0 100  0  0 2026-09-22 08:42:00
 0  0      0 2352900  43568 1228316    0    0     0     0   33   34  0  0 100  0  0 2026-09-22 08:42:01
 0  0      0 2352900  43568 1228316    0    0     0     0   89   92  0  1 99  0  0 2026-09-22 08:42:02
 0  0      0 2352900  43576 1228308    0    0     0    48   48   50  1  0 100  0  0 2026-09-22 08:42:03
 0  0      0 2352900  43576 1228316    0    0     0     0   41   38  0  0 100  0  0 2026-09-22 08:42:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 2352900  43576 1228316    0    0     0     0   39   45  0  0 100  0  0 2026-09-22 08:42:05
 0  0      0 2352900  43576 1228316    0    0     0     0   47   37  0  0 100  0  0 2026-09-22 08:42:06
 0  0      0 2352900  43576 1228316    0    0     0     8   37   41  0  0 100  0  0 2026-09-22 08:42:07
 0  0      0 2352900  43584 1228308    0    0     0    16   50   44  0  0 100  1  0 2026-09-22 08:42:08
 0  0      0 2352900  43584 1228316    0    0     0     8   40   39  0  0 100  0  0 2026-09-22 08:42:09
 0  0      0 2352900  43584 1228316    0    0     0     0   35   34  0  0 100  0  0 2026-09-22 08:42:10
 0  0      0 2352900  43584 1228316    0    0     0     0   24   36  0  0 100  0  0 2026-09-22 08:42:11
 0  0      0 2352900  43584 1228316    0    0     0     0   34   33  0  1 100  0  0 2026-09-22 08:42:12
 0  0      0 2352900  43592 1228308    0    0     0    48   46   44  0  0 100  0  0 2026-09-22 08:42:13
 1  0      0 2344584  43592 1228320    0    0     0     0  335  480  4  2 95  0  0 2026-09-22 08:42:14
