COMMAND                   AVG_CPU%
mysqld                        58.5
pidstat                        0.3
systemd                        0.0
sshd                           0.0
snapd                          0.0
rcu_sched                      0.0
polkitd                        0.0
kworker/u4:3-writeback         0.0
kworker/u4:3-ext4-rsv-conversion       0.0
kworker/u4:0-flush-259:0       0.0
kworker/1:1H-kblockd           0.0
ksoftirqd/0                    0.0
jbd2/nvme0n1p1-8               0.0
dbus-daemon                    0.0
