COMMAND                   AVG_CPU%
nginx                        121.9
pidstat                        0.4
rcu_sched                      0.1
ksoftirqd/1                    0.1
systemd                        0.0
sshd                           0.0
landscape-sysin                0.0
kworker/u4:2-flush-259:0       0.0
kworker/u4:2-ext4-rsv-conversion       0.0
kworker/u4:2-events_power_efficient       0.0
kworker/u4:1-flush-259:0       0.0
kworker/0:3-events             0.0
ksoftirqd/0                    0.0
jbd2/nvme0n1p1-8               0.0
dbus-daemon                    0.0
