COMMAND                   AVG_CPU%
mysqld                       151.3
pidstat                        0.4
jbd2/nvme0n1p1-8               0.2
kworker/u4:2-events_unbound       0.1
kworker/u4:4-ext4-rsv-conversion       0.0
kworker/u4:4-events_unbound       0.0
kworker/u4:2+flush-259:0       0.0
kworker/u4:2-writeback         0.0
kworker/u4:2-flush-259:0       0.0
kworker/1:4-mm_percpu_wq       0.0
kworker/1:4-events             0.0
kworker/0:3-events             0.0
kswapd0                        0.0
ksoftirqd/1                    0.0
ksoftirqd/0                    0.0
