COMMAND                   AVG_CPU%
isupipe                       99.4
nginx                         12.1
systemd-journal                0.8
pidstat                        0.6
rsyslogd                       0.3
rcu_sched                      0.1
mysql                          0.1
kworker/u4:1-ext4-rsv-conversion       0.1
kworker/u4:0-events_power_efficient       0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd                        0.0
multipathd                     0.0
migration/0                    0.0
