COMMAND                   AVG_CPU%
nginx                        108.2
kworker/u4:1-ext4-rsv-conversion       0.6
pidstat                        0.5
kworker/u4:3-ext4-rsv-conversion       0.3
rcu_sched                      0.1
kworker/u4:2-ext4-rsv-conversion       0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
kworker/u4:3-writeback         0.0
