sudo: unable to resolve host ip-10-100-0-64: Name or service not known
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+-------+--------+------+-----+
| COUNT  | METHOD |                        URI                        |  MIN  |  AVG  |  MAX  |  SUM   |  P99  |  2XX  |  3XX   | 4XX  | 5XX |
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+-------+--------+------+-----+
| 478734 | GET    | ^/api/user/[^/]+/icon                             | 0.000 | 0.000 | 0.500 | 32.903 | 0.004 | 1041  | 477693 | 0    | 0   |
| 22605  | POST   | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.001 | 0.044 | 29.208 | 0.004 | 22604 | 0      | 1    | 0   |
| 19078  | POST   | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.001 | 0.044 | 23.344 | 0.004 | 19078 | 0      | 0    | 0   |
| 3559   | POST   | ^/api/livestream/[0-9]+/moderate                  | 0.004 | 0.006 | 0.036 | 22.692 | 0.016 | 3559  | 0      | 0    | 0   |
| 12799  | GET    | /api/livestream/search                            | 0.000 | 0.002 | 0.016 | 21.856 | 0.004 | 12799 | 0      | 0    | 0   |
| 4011   | POST   | /api/register                                     | 0.004 | 0.004 | 0.048 | 15.228 | 0.008 | 4009  | 0      | 1    | 1   |
| 20870  | GET    | ^/api/livestream/[0-9]+/livecomment               | 0.000 | 0.001 | 0.012 | 15.216 | 0.004 | 20870 | 0      | 0    | 0   |
| 12716  | GET    | /api/livestream                                   | 0.000 | 0.001 | 0.008 | 15.208 | 0.004 | 12716 | 0      | 0    | 0   |
| 20902  | GET    | ^/api/livestream/[0-9]+/reaction                  | 0.000 | 0.001 | 0.008 | 14.636 | 0.004 | 20902 | 0      | 0    | 0   |
| 8680   | GET    | ^/api/livestream/[0-9]+/report                    | 0.000 | 0.002 | 0.016 | 13.580 | 0.004 | 8680  | 0      | 0    | 0   |
| 4970   | POST   | /api/icon                                         | 0.004 | 0.003 | 0.048 | 12.508 | 0.008 | 4970  | 0      | 0    | 0   |
| 4678   | POST   | /api/livestream/reservation                       | 0.000 | 0.002 | 0.020 | 11.488 | 0.008 | 720   | 0      | 3958 | 0   |
| 4017   | POST   | /api/login                                        | 0.004 | 0.002 | 0.012 | 9.240  | 0.004 | 4015  | 0      | 2    | 0   |
| 9647   | GET    | /api/tag                                          | 0.000 | 0.001 | 0.008 | 5.488  | 0.004 | 9647  | 0      | 0    | 0   |
| 6115   | GET    | ^/api/livestream/[0-9]+/ngwords                   | 0.000 | 0.001 | 0.008 | 3.400  | 0.004 | 6115  | 0      | 0    | 0   |
| 361    | GET    | ^/api/user/[^/]+/statistics                       | 0.004 | 0.009 | 0.068 | 3.152  | 0.036 | 361   | 0      | 0    | 0   |
| 1      | POST   | /api/initialize                                   | 2.740 | 2.740 | 2.740 | 2.740  | 2.740 | 1     | 0      | 0    | 0   |
| 1808   | POST   | ^/api/livestream/[0-9]+/enter                     | 0.000 | 0.001 | 0.008 | 2.444  | 0.004 | 1808  | 0      | 0    | 0   |
| 1800   | DELETE | ^/api/livestream/[0-9]+/exit                      | 0.000 | 0.001 | 0.004 | 2.132  | 0.004 | 1800  | 0      | 0    | 0   |
| 188    | GET    | ^/api/livestream/[0-9]+/statistics                | 0.004 | 0.006 | 0.012 | 1.128  | 0.012 | 188   | 0      | 0    | 0   |
| 360    | GET    | ^/api/user/[^/]+/theme                            | 0.004 | 0.002 | 0.008 | 0.568  | 0.004 | 360   | 0      | 0    | 0   |
| 359    | GET    | ^/api/user/[^/]+/livestream                       | 0.000 | 0.001 | 0.008 | 0.492  | 0.004 | 359   | 0      | 0    | 0   |
| 14     | POST   | ^/api/livestream/[0-9]+/livecomment/[0-9]+/report | 0.000 | 0.002 | 0.004 | 0.028  | 0.004 | 14    | 0      | 0    | 0   |
| 1      | GET    | /api/payment                                      | 0.004 | 0.004 | 0.004 | 0.004  | 0.004 | 1     | 0      | 0    | 0   |
| 4      | GET    | ^/api/user/[^/]+$                                 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 4     | 0      | 0    | 0   |
| 1      | GET    | ^/api/livestream/[0-9]+$                          | 0.000 | 0.000 | 0.000 | 0.000  | 0.000 | 1     | 0      | 0    | 0   |
+--------+--------+---------------------------------------------------+-------+-------+-------+--------+-------+-------+--------+------+-----+
